Driver,Team,Position,LapNumber,GapToLeader_sec
RUS,Mercedes,1,1,0.0
RUS,Mercedes,1,2,0.0
RUS,Mercedes,1,3,0.0
RUS,Mercedes,1,4,0.0
RUS,Mercedes,1,5,0.0
RUS,Mercedes,1,6,0.0
RUS,Mercedes,1,7,0.0
RUS,Mercedes,1,8,0.0
RUS,Mercedes,1,9,0.0
RUS,Mercedes,1,10,0.0
RUS,Mercedes,1,11,0.0
RUS,Mercedes,1,12,0.0
RUS,Mercedes,1,13,0.0
RUS,Mercedes,1,14,0.0
RUS,Mercedes,1,15,0.0
RUS,Mercedes,1,16,0.0
RUS,Mercedes,1,17,0.0
RUS,Mercedes,1,18,0.0
RUS,Mercedes,1,19,0.0
RUS,Mercedes,1,20,0.0
RUS,Mercedes,1,21,0.0
RUS,Mercedes,1,22,0.0
RUS,Mercedes,1,23,0.0
RUS,Mercedes,1,24,0.0
RUS,Mercedes,1,25,0.0
RUS,Mercedes,1,26,0.0
RUS,Mercedes,1,27,0.0
RUS,Mercedes,1,28,0.0
RUS,Mercedes,1,29,0.0
RUS,Mercedes,1,30,0.0
RUS,Mercedes,1,31,0.0
RUS,Mercedes,1,32,0.0
RUS,Mercedes,1,33,0.0
RUS,Mercedes,1,34,0.0
RUS,Mercedes,1,35,0.0
RUS,Mercedes,1,36,0.0
RUS,Mercedes,1,37,0.0
RUS,Mercedes,1,38,0.0
RUS,Mercedes,1,39,0.0
RUS,Mercedes,1,40,0.0
RUS,Mercedes,1,41,0.0
RUS,Mercedes,1,42,0.0
RUS,Mercedes,1,43,0.0
RUS,Mercedes,1,44,0.0
RUS,Mercedes,1,45,0.0
RUS,Mercedes,1,46,0.0
RUS,Mercedes,1,47,0.0
RUS,Mercedes,1,48,0.0
RUS,Mercedes,1,49,0.0
RUS,Mercedes,1,50,0.0
RUS,Mercedes,1,51,0.0
RUS,Mercedes,1,52,0.0
RUS,Mercedes,1,53,0.0
RUS,Mercedes,1,54,0.0
RUS,Mercedes,1,55,0.0
RUS,Mercedes,1,56,0.0
RUS,Mercedes,1,57,0.0
RUS,Mercedes,1,58,0.0
ANT,Mercedes,2,1,4.272
ANT,Mercedes,2,2,6.394
ANT,Mercedes,2,3,5.413
ANT,Mercedes,2,4,6.035
ANT,Mercedes,2,5,6.517
ANT,Mercedes,2,6,5.902
ANT,Mercedes,2,7,5.638
ANT,Mercedes,2,8,4.131
ANT,Mercedes,2,9,2.061
ANT,Mercedes,2,10,1.986
ANT,Mercedes,2,11,1.909
ANT,Mercedes,2,12,5.651
ANT,Mercedes,2,13,5.683
ANT,Mercedes,2,14,5.268
ANT,Mercedes,2,15,5.73
ANT,Mercedes,2,16,6.425
ANT,Mercedes,2,17,6.92
ANT,Mercedes,2,18,8.923
ANT,Mercedes,2,19,9.0
ANT,Mercedes,2,20,6.543
ANT,Mercedes,2,21,6.654
ANT,Mercedes,2,22,6.624
ANT,Mercedes,2,23,6.378
ANT,Mercedes,2,24,6.134
ANT,Mercedes,2,25,7.8
ANT,Mercedes,2,26,7.845
ANT,Mercedes,2,27,7.76
ANT,Mercedes,2,28,7.4
ANT,Mercedes,2,29,6.882
ANT,Mercedes,2,30,6.499
ANT,Mercedes,2,31,6.232
ANT,Mercedes,2,32,5.931
ANT,Mercedes,2,33,5.11
ANT,Mercedes,2,34,5.905
ANT,Mercedes,2,35,6.18
ANT,Mercedes,2,36,6.316
ANT,Mercedes,2,37,6.443
ANT,Mercedes,2,38,6.569
ANT,Mercedes,2,39,6.752
ANT,Mercedes,2,40,6.509
ANT,Mercedes,2,41,6.364
ANT,Mercedes,2,42,6.252
ANT,Mercedes,2,43,6.374
ANT,Mercedes,2,44,6.597
ANT,Mercedes,2,45,6.243
ANT,Mercedes,2,46,5.53
ANT,Mercedes,2,47,5.563
ANT,Mercedes,2,48,5.521
ANT,Mercedes,2,49,5.922
ANT,Mercedes,2,50,5.738
ANT,Mercedes,2,51,5.601
ANT,Mercedes,2,52,5.053
ANT,Mercedes,2,53,4.597
ANT,Mercedes,2,54,4.339
ANT,Mercedes,2,55,4.597
ANT,Mercedes,2,56,4.443
ANT,Mercedes,2,57,3.672
ANT,Mercedes,2,58,2.974
LEC,Ferrari,3,1,-0.765
LEC,Ferrari,3,2,0.44
LEC,Ferrari,3,3,-0.551
LEC,Ferrari,3,4,-0.787
LEC,Ferrari,3,5,-0.823
LEC,Ferrari,3,6,-0.64
LEC,Ferrari,3,7,-0.705
LEC,Ferrari,3,8,-0.332
LEC,Ferrari,3,9,-0.708
LEC,Ferrari,3,10,-0.843
LEC,Ferrari,3,11,-1.012
LEC,Ferrari,3,12,-12.944
LEC,Ferrari,3,13,-15.425
LEC,Ferrari,3,14,-12.03
LEC,Ferrari,3,15,-11.09
LEC,Ferrari,3,16,-10.502
LEC,Ferrari,3,17,-8.911
LEC,Ferrari,3,18,-8.288
LEC,Ferrari,3,19,-9.892
LEC,Ferrari,3,20,-7.645
LEC,Ferrari,3,21,-6.993
LEC,Ferrari,3,22,-6.469
LEC,Ferrari,3,23,-5.821
LEC,Ferrari,3,24,-5.627
LEC,Ferrari,3,25,9.328
LEC,Ferrari,3,26,15.552
LEC,Ferrari,3,27,15.47
LEC,Ferrari,3,28,15.169
LEC,Ferrari,3,29,14.67
LEC,Ferrari,3,30,14.424
LEC,Ferrari,3,31,14.211
LEC,Ferrari,3,32,13.618
LEC,Ferrari,3,33,12.954
LEC,Ferrari,3,34,13.878
LEC,Ferrari,3,35,14.403
LEC,Ferrari,3,36,16.05
LEC,Ferrari,3,37,16.447
LEC,Ferrari,3,38,16.163
LEC,Ferrari,3,39,16.153
LEC,Ferrari,3,40,16.168
LEC,Ferrari,3,41,16.09
LEC,Ferrari,3,42,15.882
LEC,Ferrari,3,43,15.739
LEC,Ferrari,3,44,15.977
LEC,Ferrari,3,45,15.66
LEC,Ferrari,3,46,14.803
LEC,Ferrari,3,47,14.722
LEC,Ferrari,3,48,14.587
LEC,Ferrari,3,49,15.107
LEC,Ferrari,3,50,15.22
