LapNum,ANT_LapTimeSec,ANT_Compound,ANT_SpeedST,ANT_SpeedI1,ANT_SpeedI2,ANT_SpeedFL,LEC_LapTimeSec,LEC_Compound,LEC_SpeedST,LEC_SpeedI1,LEC_SpeedI2,LEC_SpeedFL,IsCleanBoth,Delta_ANT_LEC_sec,Delta_ST_ANT_LEC_kmh
1,96.966,MEDIUM,232.000,234.000,295.000,292.000,91.929,MEDIUM,244.000,248.000,280.000,277.000,False,5.037,-12.000
2,87.129,MEDIUM,272.000,253.000,292.000,303.000,86.212,MEDIUM,269.000,247.000,289.000,300.000,True,0.917,3.000
3,85.463,MEDIUM,276.000,256.000,304.000,289.000,85.453,MEDIUM,275.000,250.000,306.000,285.000,True,0.010,1.000
4,85.411,MEDIUM,280.000,260.000,315.000,314.000,84.553,MEDIUM,271.000,254.000,289.000,293.000,True,0.858,9.000
5,84.499,MEDIUM,302.000,256.000,307.000,288.000,83.981,MEDIUM,288.000,255.000,289.000,291.000,True,0.518,14.000
6,84.024,MEDIUM,290.000,262.000,299.000,281.000,84.822,MEDIUM,283.000,252.000,288.000,293.000,True,-0.798,7.000
7,83.835,MEDIUM,283.000,261.000,301.000,282.000,84.034,MEDIUM,288.000,256.000,288.000,295.000,True,-0.199,-5.000
8,83.683,MEDIUM,293.000,266.000,299.000,290.000,85.563,MEDIUM,294.000,275.000,298.000,276.000,True,-1.880,-1.000
9,83.908,MEDIUM,299.000,258.000,306.000,296.000,85.602,MEDIUM,277.000,274.000,280.000,295.000,True,-1.694,22.000
10,84.037,MEDIUM,298.000,265.000,309.000,296.000,83.977,MEDIUM,294.000,252.000,289.000,295.000,True,0.060,4.000
11,83.890,MEDIUM,298.000,261.000,310.000,294.000,83.798,MEDIUM,292.000,274.000,282.000,293.000,True,0.092,6.000
12,129.682,MEDIUM,165.000,224.000,145.000,,114.008,MEDIUM,287.000,222.000,137.000,204.000,False,15.674,-122.000
13,117.691,HARD,227.000,211.000,121.000,211.000,115.178,MEDIUM,213.000,181.000,142.000,175.000,False,2.513,14.000
14,86.679,HARD,226.000,266.000,301.000,286.000,90.489,MEDIUM,218.000,273.000,282.000,289.000,False,-3.810,8.000
15,83.287,HARD,295.000,267.000,310.000,316.000,83.765,MEDIUM,283.000,249.000,287.000,291.000,False,-0.478,12.000
16,83.618,HARD,292.000,255.000,295.000,289.000,83.511,MEDIUM,291.000,248.000,290.000,297.000,True,0.107,1.000
17,83.260,HARD,294.000,261.000,301.000,293.000,84.356,MEDIUM,300.000,275.000,285.000,291.000,True,-1.096,-6.000
18,90.982,HARD,296.000,252.000,298.000,227.000,89.602,MEDIUM,287.000,275.000,290.000,139.000,False,1.380,9.000
19,115.334,HARD,196.000,189.000,223.000,209.000,113.653,MEDIUM,227.000,238.000,224.000,229.000,False,1.681,-31.000
20,88.479,HARD,224.000,265.000,297.000,297.000,93.183,MEDIUM,230.000,186.000,289.000,298.000,False,-4.704,-6.000
21,82.781,HARD,298.000,267.000,298.000,287.000,83.322,MEDIUM,299.000,248.000,292.000,299.000,False,-0.541,-1.000
22,82.862,HARD,292.000,273.000,301.000,293.000,83.416,MEDIUM,302.000,250.000,295.000,297.000,True,-0.554,-10.000
23,82.582,HARD,294.000,264.000,288.000,294.000,83.476,MEDIUM,299.000,244.000,300.000,297.000,True,-0.894,-5.000
24,83.222,HARD,291.000,266.000,303.000,293.000,83.660,MEDIUM,297.000,249.000,292.000,299.000,True,-0.438,-6.000
25,84.545,HARD,296.000,260.000,298.000,294.000,97.834,MEDIUM,302.000,251.000,292.000,,False,-13.289,-6.000
26,83.138,HARD,295.000,264.000,301.000,296.000,89.317,HARD,201.000,274.000,292.000,298.000,False,-6.179,94.000
27,83.103,HARD,299.000,260.000,300.000,294.000,83.106,HARD,295.000,251.000,292.000,302.000,True,-0.003,4.000
28,83.030,HARD,298.000,260.000,301.000,296.000,83.089,HARD,303.000,249.000,292.000,299.000,True,-0.059,-5.000
29,82.968,HARD,300.000,265.000,300.000,296.000,82.987,HARD,300.000,256.000,292.000,298.000,True,-0.019,0.000
30,82.889,HARD,298.000,265.000,303.000,298.000,83.026,HARD,294.000,248.000,293.000,301.000,True,-0.137,4.000
31,82.880,HARD,301.000,264.000,306.000,299.000,82.934,HARD,302.000,256.000,292.000,300.000,True,-0.054,-1.000
32,83.239,HARD,295.000,265.000,303.000,301.000,82.947,HARD,300.000,249.000,292.000,303.000,True,0.292,-5.000
33,83.017,HARD,306.000,264.000,304.000,300.000,83.174,HARD,302.000,252.000,294.000,302.000,True,-0.157,4.000
34,98.387,HARD,300.000,265.000,187.000,306.000,98.516,HARD,295.000,105.000,237.000,289.000,False,-0.129,5.000
35,83.292,HARD,304.000,264.000,299.000,297.000,83.542,HARD,276.000,254.000,294.000,304.000,False,-0.250,28.000
36,82.865,HARD,302.000,267.000,299.000,296.000,84.376,HARD,293.000,249.000,295.000,301.000,True,-1.511,9.000
