LapNum,RUS_LapTimeSec,RUS_Compound,RUS_SpeedST,RUS_SpeedI1,RUS_SpeedI2,RUS_SpeedFL,LEC_LapTimeSec,LEC_Compound,LEC_SpeedST,LEC_SpeedI1,LEC_SpeedI2,LEC_SpeedFL,IsCleanBoth,Delta_RUS_LEC_sec,Delta_ST_RUS_LEC_kmh
1,92.694,MEDIUM,234.000,240.000,288.000,291.000,91.929,MEDIUM,244.000,248.000,280.000,277.000,False,0.765,-10.000
2,85.007,MEDIUM,273.000,259.000,273.000,290.000,86.212,MEDIUM,269.000,247.000,289.000,300.000,True,-1.205,4.000
3,86.444,MEDIUM,264.000,269.000,289.000,286.000,85.453,MEDIUM,275.000,250.000,306.000,285.000,True,0.991,-11.000
4,84.789,MEDIUM,271.000,269.000,286.000,298.000,84.553,MEDIUM,271.000,254.000,289.000,293.000,True,0.236,0.000
5,84.017,MEDIUM,291.000,264.000,305.000,296.000,83.981,MEDIUM,288.000,255.000,289.000,291.000,True,0.036,3.000
6,84.639,MEDIUM,298.000,263.000,291.000,314.000,84.822,MEDIUM,283.000,252.000,288.000,293.000,True,-0.183,15.000
7,84.099,MEDIUM,285.000,263.000,288.000,307.000,84.034,MEDIUM,288.000,256.000,288.000,295.000,True,0.065,-3.000
8,85.190,MEDIUM,301.000,258.000,287.000,316.000,85.563,MEDIUM,294.000,275.000,298.000,276.000,True,-0.373,7.000
9,85.978,MEDIUM,298.000,258.000,280.000,304.000,85.602,MEDIUM,277.000,274.000,280.000,295.000,True,0.376,21.000
10,84.112,MEDIUM,289.000,261.000,291.000,307.000,83.977,MEDIUM,294.000,252.000,289.000,295.000,True,0.135,-5.000
11,83.967,MEDIUM,305.000,265.000,301.000,305.000,83.798,MEDIUM,292.000,274.000,282.000,293.000,True,0.169,13.000
12,125.940,MEDIUM,279.000,243.000,149.000,,114.008,MEDIUM,287.000,222.000,137.000,204.000,False,11.932,-8.000
13,117.659,HARD,215.000,158.000,141.000,218.000,115.178,MEDIUM,213.000,181.000,142.000,175.000,False,2.481,2.000
14,87.094,HARD,187.000,267.000,296.000,281.000,90.489,MEDIUM,218.000,273.000,282.000,289.000,False,-3.395,-31.000
15,82.825,HARD,291.000,263.000,300.000,283.000,83.765,MEDIUM,283.000,249.000,287.000,291.000,False,-0.940,8.000
16,82.923,HARD,290.000,261.000,302.000,289.000,83.511,MEDIUM,291.000,248.000,290.000,297.000,True,-0.588,-1.000
17,82.765,HARD,298.000,259.000,302.000,292.000,84.356,MEDIUM,300.000,275.000,285.000,291.000,True,-1.591,-2.000
18,88.979,HARD,294.000,262.000,302.000,273.000,89.602,MEDIUM,287.000,275.000,290.000,139.000,False,-0.623,7.000
19,115.257,HARD,144.000,200.000,153.000,113.000,113.653,MEDIUM,227.000,238.000,224.000,229.000,False,1.604,-83.000
20,90.936,HARD,239.000,259.000,301.000,296.000,93.183,MEDIUM,230.000,186.000,289.000,298.000,False,-2.247,9.000
21,82.670,HARD,299.000,260.000,309.000,296.000,83.322,MEDIUM,299.000,248.000,292.000,299.000,False,-0.652,0.000
22,82.892,HARD,295.000,263.000,303.000,295.000,83.416,MEDIUM,302.000,250.000,295.000,297.000,True,-0.524,-7.000
23,82.828,HARD,298.000,268.000,306.000,297.000,83.476,MEDIUM,299.000,244.000,300.000,297.000,True,-0.648,-1.000
24,83.466,HARD,268.000,271.000,302.000,295.000,83.660,MEDIUM,297.000,249.000,292.000,299.000,True,-0.194,-29.000
25,82.879,HARD,301.000,273.000,303.000,299.000,97.834,MEDIUM,302.000,251.000,292.000,,False,-14.955,-1.000
26,83.093,HARD,305.000,273.000,303.000,295.000,89.317,HARD,201.000,274.000,292.000,298.000,False,-6.224,104.000
27,83.188,HARD,302.000,272.000,306.000,299.000,83.106,HARD,295.000,251.000,292.000,302.000,True,0.082,7.000
28,83.390,HARD,301.000,275.000,304.000,311.000,83.089,HARD,303.000,249.000,292.000,299.000,True,0.301,-2.000
29,83.486,HARD,321.000,270.000,301.000,294.000,82.987,HARD,300.000,256.000,292.000,298.000,True,0.499,21.000
30,83.272,HARD,288.000,267.000,303.000,293.000,83.026,HARD,294.000,248.000,293.000,301.000,True,0.246,-6.000
31,83.147,HARD,296.000,271.000,308.000,299.000,82.934,HARD,302.000,256.000,292.000,300.000,True,0.213,-6.000
32,83.540,HARD,303.000,274.000,308.000,293.000,82.947,HARD,300.000,249.000,292.000,303.000,True,0.593,3.000
33,83.838,HARD,301.000,274.000,300.000,292.000,83.174,HARD,302.000,252.000,294.000,302.000,True,0.664,-1.000
34,97.592,HARD,296.000,260.000,138.000,300.000,98.516,HARD,295.000,105.000,237.000,289.000,False,-0.924,1.000
35,83.017,HARD,302.000,260.000,299.000,296.000,83.542,HARD,276.000,254.000,294.000,304.000,False,-0.525,26.000
36,82.729,HARD,300.000,256.000,299.000,293.000,84.376,HARD,293.000,249.000,295.000,301.000,True,-1.647,7.000
37,82.839,HARD,295.000,256.000,299.000,298.000,83.236,HARD,297.000,256.000,291.000,302.000,True,-0.397,-2.000
38,82.863,HARD,296.000,255.000,300.000,300.000,82.579,HARD,300.000,258.000,293.000,301.000,True,0.284,-4.000
39,82.738,HARD,299.000,257.000,302.000,300.000,82.728,HARD,292.000,255.000,298.000,301.000,True,0.010,7.000
40,82.915,HARD,300.000,257.000,304.000,300.000,82.930,HARD,301.000,253.000,292.000,300.000,True,-0.015,-1.000
41,83.073,HARD,303.000,260.000,305.000,303.000,82.995,HARD,301.000,253.000,292.000,295.000,True,0.078,2.000
42,83.054,HARD,305.000,261.000,304.000,298.000,82.846,HARD,288.000,257.000,292.000,301.000,True,0.208,17.000
43,82.893,HARD,300.000,258.000,306.000,301.000,82.750,HARD,298.000,253.000,292.000,301.000,True,0.143,2.000
44,82.856,HARD,304.000,260.000,307.000,301.000,83.094,HARD,301.000,254.000,297.000,304.000,True,-0.238,3.000
45,83.477,HARD,304.000,262.000,312.000,305.000,83.160,HARD,294.000,250.000,293.000,300.000,True,0.317,10.000
46,83.751,HARD,306.000,269.000,304.000,297.000,82.894,HARD,291.000,256.000,291.000,303.000,True,0.857,15.000
47,83.033,HARD,302.000,263.000,303.000,295.000,82.952,HARD,294.000,250.000,291.000,301.000,True,0.081,8.000
48,83.034,HARD,302.000,260.000,304.000,300.000,82.899,HARD,298.000,249.000,295.000,303.000,True,0.135,4.000
49,82.844,HARD,304.000,260.000,308.000,304.000,83.364,HARD,301.000,249.000,296.000,304.000,True,-0.520,3.000
50,83.087,HARD,306.000,262.000,305.000,300.000,83.200,HARD,301.000,251.000,300.000,301.000,True,-0.113,5.000
51,82.762,HARD,306.000,263.000,310.000,306.000,82.989,HARD,300.000,259.000,299.000,306.000,True,-0.227,6.000
52,83.106,HARD,309.000,262.000,313.000,305.000,83.049,HARD,304.000,256.000,301.000,303.000,True,0.057,5.000
53,83.069,HARD,309.000,263.000,309.000,305.000,83.014,HARD,305.000,255.000,292.000,299.000,True,0.055,4.000
54,83.100,HARD,295.000,266.000,307.000,302.000,83.045,HARD,294.000,257.000,291.000,298.000,True,0.055,1.000
55,82.670,HARD,307.000,262.000,305.000,301.000,82.825,HARD,288.000,257.000,292.000,299.000,True,-0.155,19.000
56,82.757,HARD,306.000,260.000,308.000,305.000,82.965,HARD,288.000,254.000,288.000,300.000,True,-0.208,18.000
57,83.188,HARD,307.000,263.000,312.000,301.000,83.098,HARD,289.000,258.000,291.000,293.000,True,0.090,18.000
58,83.351,HARD,301.000,261.000,302.000,300.000,83.317,HARD,277.000,261.000,298.000,313.000,True,0.034,24.000
