LapNumber,Sector,ANT_sec,LEC_sec,Delta_ANT_LEC_sec,IsCleanBoth
1,S1,,,,False
2,S1,30.82,30.116,0.704,True
3,S1,30.586,30.141,0.445,True
4,S1,29.869,29.99,-0.121,True
5,S1,29.761,29.542,0.219,True
6,S1,29.534,29.775,-0.241,True
7,S1,29.537,29.693,-0.156,True
8,S1,29.573,30.478,-0.905,True
9,S1,29.601,30.791,-1.19,True
10,S1,29.723,29.824,-0.101,True
11,S1,29.711,29.585,0.126,True
12,S1,40.974,40.041,0.933,False
13,S1,43.264,41.178,2.086,False
14,S1,32.153,35.983,-3.83,False
15,S1,29.346,29.539,-0.193,False
16,S1,29.345,29.393,-0.048,True
17,S1,29.46,29.858,-0.398,True
18,S1,29.138,29.353,-0.215,False
19,S1,40.684,38.364,2.32,False
20,S1,34.654,38.397,-3.743,False
21,S1,28.955,29.324,-0.369,False
22,S1,28.856,29.349,-0.493,True
23,S1,28.958,29.5,-0.542,True
24,S1,29.329,29.602,-0.273,True
25,S1,29.326,29.658,-0.332,False
26,S1,29.311,35.37,-6.059,False
27,S1,29.187,29.434,-0.247,True
28,S1,29.174,29.241,-0.067,True
29,S1,29.145,29.127,0.018,True
30,S1,29.144,29.173,-0.029,True
31,S1,29.175,29.138,0.037,True
32,S1,29.509,29.221,0.288,True
33,S1,29.36,29.301,0.059,True
34,S1,29.416,32.568,-3.152,False
35,S1,29.604,29.632,-0.028,False
36,S1,29.264,29.478,-0.214,True
37,S1,29.271,29.421,-0.15,True
38,S1,29.155,28.995,0.16,True
39,S1,29.196,29.142,0.054,True
40,S1,29.1,29.199,-0.099,True
41,S1,29.162,29.102,0.06,True
42,S1,29.075,29.167,-0.092,True
43,S1,29.244,29.142,0.102,True
44,S1,29.252,29.326,-0.074,True
45,S1,29.311,29.378,-0.067,True
46,S1,29.35,29.254,0.096,True
47,S1,29.276,29.106,0.17,True
48,S1,29.415,29.299,0.116,True
49,S1,29.403,29.374,0.029,True
50,S1,29.148,29.246,-0.098,True
51,S1,29.108,29.359,-0.251,True
52,S1,28.925,29.441,-0.516,True
53,S1,29.088,29.254,-0.166,True
54,S1,29.051,29.077,-0.026,True
