Driver,Team,PitInLap
RUS,Mercedes,12
ANT,Mercedes,12
LEC,Ferrari,25
HAM,Ferrari,28
NOR,McLaren,11
NOR,McLaren,34
VER,Red Bull Racing,18
VER,Red Bull Racing,41
BEA,Haas F1 Team,18
LIN,Racing Bulls,18
BOR,Audi,18
BOR,Audi,33
GAS,Alpine,11
OCO,Haas F1 Team,11
ALB,Williams,12
ALB,Williams,33
LAW,Racing Bulls,11
LAW,Racing Bulls,33
COL,Alpine,9
COL,Alpine,46
SAI,Williams,11
SAI,Williams,33
SAI,Williams,45
PER,Cadillac,18
PER,Cadillac,43
STR,Aston Martin,11
STR,Aston Martin,26
STR,Aston Martin,34
STR,Aston Martin,39
ALO,Aston Martin,11
ALO,Aston Martin,13
ALO,Aston Martin,22
BOT,Cadillac,12
