Driver,SpeedPoint,SpeedColumn,Speed_kmh
ANT,S1末端,SpeedI1,253.0
ANT,S1末端,SpeedI1,256.0
ANT,S1末端,SpeedI1,260.0
ANT,S1末端,SpeedI1,256.0
ANT,S1末端,SpeedI1,262.0
ANT,S1末端,SpeedI1,261.0
ANT,S1末端,SpeedI1,266.0
ANT,S1末端,SpeedI1,258.0
ANT,S1末端,SpeedI1,265.0
ANT,S1末端,SpeedI1,261.0
ANT,S1末端,SpeedI1,255.0
ANT,S1末端,SpeedI1,261.0
ANT,S1末端,SpeedI1,273.0
ANT,S1末端,SpeedI1,264.0
ANT,S1末端,SpeedI1,266.0
ANT,S1末端,SpeedI1,260.0
ANT,S1末端,SpeedI1,264.0
ANT,S1末端,SpeedI1,260.0
ANT,S1末端,SpeedI1,260.0
ANT,S1末端,SpeedI1,265.0
ANT,S1末端,SpeedI1,265.0
ANT,S1末端,SpeedI1,264.0
ANT,S1末端,SpeedI1,265.0
ANT,S1末端,SpeedI1,264.0
ANT,S1末端,SpeedI1,267.0
ANT,S1末端,SpeedI1,265.0
ANT,S1末端,SpeedI1,273.0
ANT,S1末端,SpeedI1,263.0
ANT,S1末端,SpeedI1,257.0
ANT,S1末端,SpeedI1,260.0
ANT,S1末端,SpeedI1,264.0
ANT,S1末端,SpeedI1,264.0
ANT,S1末端,SpeedI1,264.0
ANT,S1末端,SpeedI1,259.0
ANT,S1末端,SpeedI1,261.0
ANT,S1末端,SpeedI1,265.0
ANT,S1末端,SpeedI1,266.0
ANT,S1末端,SpeedI1,262.0
ANT,S1末端,SpeedI1,262.0
ANT,S1末端,SpeedI1,261.0
ANT,S1末端,SpeedI1,271.0
ANT,S1末端,SpeedI1,264.0
ANT,S1末端,SpeedI1,262.0
ANT,S1末端,SpeedI1,267.0
ANT,S1末端,SpeedI1,264.0
ANT,S1末端,SpeedI1,264.0
ANT,S1末端,SpeedI1,271.0
ANT,S2末端,SpeedI2,292.0
ANT,S2末端,SpeedI2,304.0
ANT,S2末端,SpeedI2,315.0
ANT,S2末端,SpeedI2,307.0
ANT,S2末端,SpeedI2,299.0
ANT,S2末端,SpeedI2,301.0
ANT,S2末端,SpeedI2,299.0
ANT,S2末端,SpeedI2,306.0
ANT,S2末端,SpeedI2,309.0
ANT,S2末端,SpeedI2,310.0
ANT,S2末端,SpeedI2,295.0
ANT,S2末端,SpeedI2,301.0
ANT,S2末端,SpeedI2,301.0
ANT,S2末端,SpeedI2,288.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,298.0
ANT,S2末端,SpeedI2,301.0
ANT,S2末端,SpeedI2,300.0
ANT,S2末端,SpeedI2,301.0
ANT,S2末端,SpeedI2,300.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,306.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,304.0
ANT,S2末端,SpeedI2,299.0
ANT,S2末端,SpeedI2,299.0
ANT,S2末端,SpeedI2,299.0
ANT,S2末端,SpeedI2,300.0
ANT,S2末端,SpeedI2,300.0
ANT,S2末端,SpeedI2,302.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,301.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,302.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,306.0
ANT,S2末端,SpeedI2,313.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,307.0
ANT,S2末端,SpeedI2,312.0
ANT,S2末端,SpeedI2,304.0
ANT,S2末端,SpeedI2,304.0
ANT,S2末端,SpeedI2,303.0
ANT,S2末端,SpeedI2,308.0
ANT,FL,SpeedFL,303.0
ANT,FL,SpeedFL,289.0
ANT,FL,SpeedFL,314.0
ANT,FL,SpeedFL,288.0
ANT,FL,SpeedFL,281.0
ANT,FL,SpeedFL,282.0
ANT,FL,SpeedFL,290.0
ANT,FL,SpeedFL,296.0
ANT,FL,SpeedFL,296.0
ANT,FL,SpeedFL,294.0
ANT,FL,SpeedFL,289.0
ANT,FL,SpeedFL,293.0
ANT,FL,SpeedFL,293.0
ANT,FL,SpeedFL,294.0
ANT,FL,SpeedFL,293.0
ANT,FL,SpeedFL,294.0
ANT,FL,SpeedFL,296.0
ANT,FL,SpeedFL,294.0
ANT,FL,SpeedFL,296.0
ANT,FL,SpeedFL,296.0
