Driver,SpeedPoint,SpeedColumn,Speed_kmh
RUS,S1末端,SpeedI1,259.0
RUS,S1末端,SpeedI1,269.0
RUS,S1末端,SpeedI1,269.0
RUS,S1末端,SpeedI1,264.0
RUS,S1末端,SpeedI1,263.0
RUS,S1末端,SpeedI1,263.0
RUS,S1末端,SpeedI1,258.0
RUS,S1末端,SpeedI1,258.0
RUS,S1末端,SpeedI1,261.0
RUS,S1末端,SpeedI1,265.0
RUS,S1末端,SpeedI1,261.0
RUS,S1末端,SpeedI1,259.0
RUS,S1末端,SpeedI1,263.0
RUS,S1末端,SpeedI1,268.0
RUS,S1末端,SpeedI1,271.0
RUS,S1末端,SpeedI1,273.0
RUS,S1末端,SpeedI1,273.0
RUS,S1末端,SpeedI1,272.0
RUS,S1末端,SpeedI1,275.0
RUS,S1末端,SpeedI1,270.0
RUS,S1末端,SpeedI1,267.0
RUS,S1末端,SpeedI1,271.0
RUS,S1末端,SpeedI1,274.0
RUS,S1末端,SpeedI1,274.0
RUS,S1末端,SpeedI1,256.0
RUS,S1末端,SpeedI1,256.0
RUS,S1末端,SpeedI1,255.0
RUS,S1末端,SpeedI1,257.0
RUS,S1末端,SpeedI1,257.0
RUS,S1末端,SpeedI1,260.0
RUS,S1末端,SpeedI1,261.0
RUS,S1末端,SpeedI1,258.0
RUS,S1末端,SpeedI1,260.0
RUS,S1末端,SpeedI1,262.0
RUS,S1末端,SpeedI1,269.0
RUS,S1末端,SpeedI1,263.0
RUS,S1末端,SpeedI1,260.0
RUS,S1末端,SpeedI1,260.0
RUS,S1末端,SpeedI1,262.0
RUS,S1末端,SpeedI1,263.0
RUS,S1末端,SpeedI1,262.0
RUS,S1末端,SpeedI1,263.0
RUS,S1末端,SpeedI1,266.0
RUS,S1末端,SpeedI1,262.0
RUS,S1末端,SpeedI1,260.0
RUS,S1末端,SpeedI1,263.0
RUS,S1末端,SpeedI1,261.0
RUS,S2末端,SpeedI2,273.0
RUS,S2末端,SpeedI2,289.0
RUS,S2末端,SpeedI2,286.0
RUS,S2末端,SpeedI2,305.0
RUS,S2末端,SpeedI2,291.0
RUS,S2末端,SpeedI2,288.0
RUS,S2末端,SpeedI2,287.0
RUS,S2末端,SpeedI2,280.0
RUS,S2末端,SpeedI2,291.0
RUS,S2末端,SpeedI2,301.0
RUS,S2末端,SpeedI2,302.0
RUS,S2末端,SpeedI2,302.0
RUS,S2末端,SpeedI2,303.0
RUS,S2末端,SpeedI2,306.0
RUS,S2末端,SpeedI2,302.0
RUS,S2末端,SpeedI2,303.0
RUS,S2末端,SpeedI2,303.0
RUS,S2末端,SpeedI2,306.0
RUS,S2末端,SpeedI2,304.0
RUS,S2末端,SpeedI2,301.0
RUS,S2末端,SpeedI2,303.0
RUS,S2末端,SpeedI2,308.0
RUS,S2末端,SpeedI2,308.0
RUS,S2末端,SpeedI2,300.0
RUS,S2末端,SpeedI2,299.0
RUS,S2末端,SpeedI2,299.0
RUS,S2末端,SpeedI2,300.0
RUS,S2末端,SpeedI2,302.0
RUS,S2末端,SpeedI2,304.0
RUS,S2末端,SpeedI2,305.0
RUS,S2末端,SpeedI2,304.0
RUS,S2末端,SpeedI2,306.0
RUS,S2末端,SpeedI2,307.0
RUS,S2末端,SpeedI2,312.0
RUS,S2末端,SpeedI2,304.0
RUS,S2末端,SpeedI2,303.0
RUS,S2末端,SpeedI2,304.0
RUS,S2末端,SpeedI2,308.0
RUS,S2末端,SpeedI2,305.0
RUS,S2末端,SpeedI2,310.0
RUS,S2末端,SpeedI2,313.0
RUS,S2末端,SpeedI2,309.0
RUS,S2末端,SpeedI2,307.0
RUS,S2末端,SpeedI2,305.0
RUS,S2末端,SpeedI2,308.0
RUS,S2末端,SpeedI2,312.0
RUS,S2末端,SpeedI2,302.0
RUS,FL,SpeedFL,290.0
RUS,FL,SpeedFL,286.0
RUS,FL,SpeedFL,298.0
RUS,FL,SpeedFL,296.0
RUS,FL,SpeedFL,314.0
RUS,FL,SpeedFL,307.0
RUS,FL,SpeedFL,316.0
RUS,FL,SpeedFL,304.0
RUS,FL,SpeedFL,307.0
RUS,FL,SpeedFL,305.0
RUS,FL,SpeedFL,289.0
RUS,FL,SpeedFL,292.0
RUS,FL,SpeedFL,295.0
RUS,FL,SpeedFL,297.0
RUS,FL,SpeedFL,295.0
RUS,FL,SpeedFL,299.0
RUS,FL,SpeedFL,295.0
RUS,FL,SpeedFL,299.0
RUS,FL,SpeedFL,311.0
RUS,FL,SpeedFL,294.0
RUS,FL,SpeedFL,293.0
RUS,FL,SpeedFL,299.0
RUS,FL,SpeedFL,293.0
RUS,FL,SpeedFL,292.0
RUS,FL,SpeedFL,293.0
RUS,FL,SpeedFL,298.0
RUS,FL,SpeedFL,300.0
RUS,FL,SpeedFL,300.0
RUS,FL,SpeedFL,300.0
RUS,FL,SpeedFL,303.0
RUS,FL,SpeedFL,298.0
RUS,FL,SpeedFL,301.0
RUS,FL,SpeedFL,301.0
RUS,FL,SpeedFL,305.0
RUS,FL,SpeedFL,297.0
RUS,FL,SpeedFL,295.0
RUS,FL,SpeedFL,300.0
RUS,FL,SpeedFL,304.0
RUS,FL,SpeedFL,300.0
RUS,FL,SpeedFL,306.0
RUS,FL,SpeedFL,305.0
RUS,FL,SpeedFL,305.0
RUS,FL,SpeedFL,302.0
RUS,FL,SpeedFL,301.0
RUS,FL,SpeedFL,305.0
RUS,FL,SpeedFL,301.0
RUS,FL,SpeedFL,300.0
RUS,ST,SpeedST,273.0
RUS,ST,SpeedST,264.0
RUS,ST,SpeedST,271.0
RUS,ST,SpeedST,291.0
RUS,ST,SpeedST,298.0
RUS,ST,SpeedST,285.0
RUS,ST,SpeedST,301.0
RUS,ST,SpeedST,298.0
RUS,ST,SpeedST,289.0
RUS,ST,SpeedST,305.0
RUS,ST,SpeedST,290.0
RUS,ST,SpeedST,298.0
RUS,ST,SpeedST,295.0
RUS,ST,SpeedST,298.0
RUS,ST,SpeedST,268.0
RUS,ST,SpeedST,301.0
RUS,ST,SpeedST,305.0
RUS,ST,SpeedST,302.0
RUS,ST,SpeedST,301.0
RUS,ST,SpeedST,321.0
RUS,ST,SpeedST,288.0
RUS,ST,SpeedST,296.0
RUS,ST,SpeedST,303.0
RUS,ST,SpeedST,301.0
RUS,ST,SpeedST,300.0
RUS,ST,SpeedST,295.0
RUS,ST,SpeedST,296.0
RUS,ST,SpeedST,299.0
RUS,ST,SpeedST,300.0
RUS,ST,SpeedST,303.0
RUS,ST,SpeedST,305.0
RUS,ST,SpeedST,300.0
RUS,ST,SpeedST,304.0
RUS,ST,SpeedST,304.0
RUS,ST,SpeedST,306.0
RUS,ST,SpeedST,302.0
RUS,ST,SpeedST,302.0
RUS,ST,SpeedST,304.0
RUS,ST,SpeedST,306.0
RUS,ST,SpeedST,306.0
RUS,ST,SpeedST,309.0
RUS,ST,SpeedST,309.0
RUS,ST,SpeedST,295.0
RUS,ST,SpeedST,307.0
RUS,ST,SpeedST,306.0
RUS,ST,SpeedST,307.0
RUS,ST,SpeedST,301.0
LEC,S1末端,SpeedI1,247.0
LEC,S1末端,SpeedI1,250.0
LEC,S1末端,SpeedI1,254.0
LEC,S1末端,SpeedI1,255.0
LEC,S1末端,SpeedI1,252.0
LEC,S1末端,SpeedI1,256.0
LEC,S1末端,SpeedI1,275.0
LEC,S1末端,SpeedI1,274.0
LEC,S1末端,SpeedI1,252.0
LEC,S1末端,SpeedI1,274.0
LEC,S1末端,SpeedI1,248.0
LEC,S1末端,SpeedI1,275.0
LEC,S1末端,SpeedI1,250.0
LEC,S1末端,SpeedI1,244.0
LEC,S1末端,SpeedI1,249.0
LEC,S1末端,SpeedI1,251.0
LEC,S1末端,SpeedI1,249.0
LEC,S1末端,SpeedI1,256.0
LEC,S1末端,SpeedI1,248.0
LEC,S1末端,SpeedI1,256.0
LEC,S1末端,SpeedI1,249.0
LEC,S1末端,SpeedI1,252.0
LEC,S1末端,SpeedI1,249.0
LEC,S1末端,SpeedI1,256.0
LEC,S1末端,SpeedI1,258.0
LEC,S1末端,SpeedI1,255.0
LEC,S1末端,SpeedI1,253.0
LEC,S1末端,SpeedI1,253.0
LEC,S1末端,SpeedI1,257.0
LEC,S1末端,SpeedI1,253.0
LEC,S1末端,SpeedI1,254.0
LEC,S1末端,SpeedI1,250.0
LEC,S1末端,SpeedI1,256.0
LEC,S1末端,SpeedI1,250.0
LEC,S1末端,SpeedI1,249.0
LEC,S1末端,SpeedI1,249.0
LEC,S1末端,SpeedI1,251.0
LEC,S1末端,SpeedI1,259.0
LEC,S1末端,SpeedI1,256.0
LEC,S1末端,SpeedI1,255.0
LEC,S1末端,SpeedI1,257.0
LEC,S1末端,SpeedI1,257.0
LEC,S1末端,SpeedI1,254.0
LEC,S1末端,SpeedI1,258.0
LEC,S1末端,SpeedI1,261.0
LEC,S2末端,SpeedI2,289.0
LEC,S2末端,SpeedI2,306.0
LEC,S2末端,SpeedI2,289.0
LEC,S2末端,SpeedI2,289.0
LEC,S2末端,SpeedI2,288.0
LEC,S2末端,SpeedI2,288.0
LEC,S2末端,SpeedI2,298.0
LEC,S2末端,SpeedI2,280.0
LEC,S2末端,SpeedI2,289.0
LEC,S2末端,SpeedI2,282.0
LEC,S2末端,SpeedI2,290.0
LEC,S2末端,SpeedI2,285.0
LEC,S2末端,SpeedI2,295.0
LEC,S2末端,SpeedI2,300.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,293.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,294.0
LEC,S2末端,SpeedI2,295.0
LEC,S2末端,SpeedI2,291.0
LEC,S2末端,SpeedI2,293.0
LEC,S2末端,SpeedI2,298.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,297.0
LEC,S2末端,SpeedI2,293.0
LEC,S2末端,SpeedI2,291.0
LEC,S2末端,SpeedI2,291.0
LEC,S2末端,SpeedI2,295.0
LEC,S2末端,SpeedI2,296.0
LEC,S2末端,SpeedI2,300.0
LEC,S2末端,SpeedI2,299.0
LEC,S2末端,SpeedI2,301.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,291.0
LEC,S2末端,SpeedI2,292.0
LEC,S2末端,SpeedI2,288.0
LEC,S2末端,SpeedI2,291.0
LEC,S2末端,SpeedI2,298.0
LEC,FL,SpeedFL,300.0
LEC,FL,SpeedFL,285.0
LEC,FL,SpeedFL,293.0
LEC,FL,SpeedFL,291.0
LEC,FL,SpeedFL,293.0
LEC,FL,SpeedFL,295.0
LEC,FL,SpeedFL,276.0
LEC,FL,SpeedFL,295.0
LEC,FL,SpeedFL,295.0
LEC,FL,SpeedFL,293.0
LEC,FL,SpeedFL,297.0
LEC,FL,SpeedFL,291.0
LEC,FL,SpeedFL,297.0
LEC,FL,SpeedFL,297.0
LEC,FL,SpeedFL,299.0
LEC,FL,SpeedFL,302.0
LEC,FL,SpeedFL,299.0
LEC,FL,SpeedFL,298.0
LEC,FL,SpeedFL,301.0
LEC,FL,SpeedFL,300.0
LEC,FL,SpeedFL,303.0
LEC,FL,SpeedFL,302.0
LEC,FL,SpeedFL,301.0
LEC,FL,SpeedFL,302.0
LEC,FL,SpeedFL,301.0
LEC,FL,SpeedFL,301.0
LEC,FL,SpeedFL,300.0
LEC,FL,SpeedFL,295.0
LEC,FL,SpeedFL,301.0
LEC,FL,SpeedFL,301.0
LEC,FL,SpeedFL,304.0
LEC,FL,SpeedFL,300.0
LEC,FL,SpeedFL,303.0
LEC,FL,SpeedFL,301.0
LEC,FL,SpeedFL,303.0
LEC,FL,SpeedFL,304.0
LEC,FL,SpeedFL,301.0
LEC,FL,SpeedFL,306.0
LEC,FL,SpeedFL,303.0
LEC,FL,SpeedFL,299.0
LEC,FL,SpeedFL,298.0
LEC,FL,SpeedFL,299.0
LEC,FL,SpeedFL,300.0
LEC,FL,SpeedFL,293.0
LEC,FL,SpeedFL,313.0
LEC,ST,SpeedST,269.0
LEC,ST,SpeedST,275.0
LEC,ST,SpeedST,271.0
LEC,ST,SpeedST,288.0
LEC,ST,SpeedST,283.0
LEC,ST,SpeedST,288.0
LEC,ST,SpeedST,294.0
LEC,ST,SpeedST,277.0
LEC,ST,SpeedST,294.0
LEC,ST,SpeedST,292.0
LEC,ST,SpeedST,291.0
LEC,ST,SpeedST,300.0
LEC,ST,SpeedST,302.0
LEC,ST,SpeedST,299.0
LEC,ST,SpeedST,297.0
LEC,ST,SpeedST,295.0
LEC,ST,SpeedST,303.0
LEC,ST,SpeedST,300.0
LEC,ST,SpeedST,294.0
LEC,ST,SpeedST,302.0
LEC,ST,SpeedST,300.0
LEC,ST,SpeedST,302.0
LEC,ST,SpeedST,293.0
LEC,ST,SpeedST,297.0
LEC,ST,SpeedST,300.0
LEC,ST,SpeedST,292.0
LEC,ST,SpeedST,301.0
LEC,ST,SpeedST,301.0
LEC,ST,SpeedST,288.0
LEC,ST,SpeedST,298.0
LEC,ST,SpeedST,301.0
LEC,ST,SpeedST,294.0
LEC,ST,SpeedST,291.0
LEC,ST,SpeedST,294.0
LEC,ST,SpeedST,298.0
LEC,ST,SpeedST,301.0
LEC,ST,SpeedST,301.0
LEC,ST,SpeedST,300.0
LEC,ST,SpeedST,304.0
LEC,ST,SpeedST,305.0
LEC,ST,SpeedST,294.0
LEC,ST,SpeedST,288.0
LEC,ST,SpeedST,288.0
LEC,ST,SpeedST,289.0
