LapNumber,Sector,RUS_sec,LEC_sec,Delta_RUS_LEC_sec,IsCleanBoth
1,S1,,,,False
2,S1,29.753,30.116,-0.363,True
3,S1,29.845,30.141,-0.296,True
4,S1,29.949,29.99,-0.041,True
5,S1,29.636,29.542,0.094,True
6,S1,29.498,29.775,-0.277,True
7,S1,29.617,29.693,-0.076,True
8,S1,29.435,30.478,-1.043,True
9,S1,31.313,30.791,0.522,True
10,S1,29.655,29.824,-0.169,True
11,S1,29.442,29.585,-0.143,True
12,S1,40.129,40.041,0.088,False
13,S1,42.643,41.178,1.465,False
14,S1,32.616,35.983,-3.367,False
15,S1,29.08,29.539,-0.459,False
16,S1,29.106,29.393,-0.287,True
17,S1,29.085,29.858,-0.773,True
18,S1,29.523,29.353,0.17,False
19,S1,39.873,38.364,1.509,False
20,S1,37.085,38.397,-1.312,False
21,S1,28.979,29.324,-0.345,False
22,S1,29.065,29.349,-0.284,True
23,S1,28.915,29.5,-0.585,True
24,S1,29.631,29.602,0.029,True
25,S1,28.936,29.658,-0.722,False
26,S1,29.058,35.37,-6.312,False
27,S1,29.123,29.434,-0.311,True
28,S1,28.857,29.241,-0.384,True
29,S1,29.066,29.127,-0.061,True
30,S1,29.204,29.173,0.031,True
31,S1,29.132,29.138,-0.006,True
32,S1,29.174,29.221,-0.047,True
33,S1,29.242,29.301,-0.059,True
34,S1,29.314,32.568,-3.254,False
35,S1,29.314,29.632,-0.318,False
36,S1,29.079,29.478,-0.399,True
37,S1,29.197,29.421,-0.224,True
38,S1,29.211,28.995,0.216,True
39,S1,29.102,29.142,-0.04,True
40,S1,29.172,29.199,-0.027,True
41,S1,29.173,29.102,0.071,True
42,S1,29.325,29.167,0.158,True
43,S1,29.111,29.142,-0.031,True
44,S1,29.17,29.326,-0.156,True
45,S1,29.305,29.378,-0.073,True
46,S1,29.348,29.254,0.094,True
47,S1,29.286,29.106,0.18,True
48,S1,29.18,29.299,-0.119,True
49,S1,29.104,29.374,-0.27,True
50,S1,29.182,29.246,-0.064,True
51,S1,29.204,29.359,-0.155,True
52,S1,29.323,29.441,-0.118,True
53,S1,29.144,29.254,-0.11,True
54,S1,29.272,29.077,0.195,True
55,S1,29.116,29.147,-0.031,True
56,S1,29.134,29.161,-0.027,True
57,S1,29.225,29.245,-0.02,True
58,S1,29.312,29.364,-0.052,True
1,S2,18.344,18.663,-0.319,False
2,S2,17.841,18.18,-0.339,True
3,S2,18.533,17.876,0.657,True
4,S2,17.802,18.045,-0.243,True
5,S2,17.848,18.008,-0.16,True
6,S2,17.709,18.075,-0.366,True
7,S2,18.059,18.01,0.049,True
8,S2,18.391,18.017,0.374,True
9,S2,18.163,18.247,-0.084,True
10,S2,18.171,17.963,0.208,True
11,S2,18.107,18.082,0.025,True
12,S2,29.038,28.446,0.592,False
13,S2,28.724,27.3,1.424,False
14,S2,18.054,18.192,-0.138,False
15,S2,17.746,17.9,-0.154,False
