Session,Driver,Team,TotalLaps,BestLap,MeanLap,Compounds
FP1,ALB,Williams,22,83.13,103.41204545454546,"MEDIUM,SOFT"
FP1,ANT,Mercedes,19,81.376,106.46552631578948,"MEDIUM,SOFT"
FP1,BEA,Haas F1 Team,20,82.682,106.92755,"MEDIUM,SOFT"
FP1,BOR,Audi,18,81.696,100.44316666666667,"MEDIUM,SOFT"
FP1,BOT,Cadillac,21,84.022,105.19309523809522,"MEDIUM,SOFT"
FP1,COL,Alpine,21,83.325,100.03823809523809,"MEDIUM,SOFT"
FP1,GAS,Alpine,24,84.035,105.61066666666666,"MEDIUM,SOFT"
FP1,HAD,Red Bull Racing,18,81.087,104.63511111111112,"MEDIUM,SOFT"
FP1,HAM,Ferrari,26,80.736,101.82615384615384,"MEDIUM,SOFT"
FP1,HUL,Audi,15,81.969,105.40853333333332,"MEDIUM,SOFT"
FP1,LAW,Racing Bulls,24,82.613,101.00075,"MEDIUM,SOFT"
FP1,LEC,Ferrari,29,80.267,101.12451724137931,"MEDIUM,SOFT"
FP1,LIN,Racing Bulls,18,81.313,99.03927777777778,SOFT
FP1,NOR,McLaren,3,84.391,90.236,MEDIUM
FP1,OCO,Haas F1 Team,22,82.161,98.7343181818182,"MEDIUM,SOFT"
FP1,PER,Cadillac,11,84.62,107.91472727272726,"MEDIUM,SOFT"
FP1,PIA,McLaren,15,81.342,96.85773333333333,"MEDIUM,SOFT"
FP1,RUS,Mercedes,21,81.371,103.42619047619047,"MEDIUM,SOFT"
FP1,SAI,Williams,25,82.323,95.98112,"HARD,SOFT"
FP1,STR,Aston Martin,1,110.334,110.334,HARD
FP1,VER,Red Bull Racing,21,80.789,97.31038095238095,"MEDIUM,SOFT"
FP2,ALB,Williams,28,81.847,100.39892857142857,"HARD,SOFT"
FP2,ALO,Aston Martin,14,84.662,105.83335714285714,SOFT
FP2,ANT,Mercedes,26,79.943,95.66507692307692,"HARD,SOFT"
FP2,BEA,Haas F1 Team,28,81.326,102.07275,"HARD,SOFT"
FP2,BOR,Audi,22,81.668,99.54918181818181,"MEDIUM,SOFT"
FP2,BOT,Cadillac,25,83.66,101.50036,"MEDIUM,SOFT"
FP2,COL,Alpine,22,82.619,101.41831818181818,"MEDIUM,SOFT"
FP2,GAS,Alpine,13,82.167,99.0503076923077,"MEDIUM,SOFT"
FP2,HAD,Red Bull Racing,23,80.941,99.02821739130434,"MEDIUM,SOFT"
FP2,HAM,Ferrari,27,80.05,99.92,"HARD,SOFT"
FP2,HUL,Audi,29,81.351,93.9624827586207,"MEDIUM,SOFT"
FP2,LAW,Racing Bulls,25,81.358,97.6478,"MEDIUM,SOFT"
FP2,LEC,Ferrari,25,80.291,99.48636,"HARD,SOFT"
FP2,LIN,Racing Bulls,27,80.922,101.0702962962963,"MEDIUM,SOFT"
FP2,NOR,McLaren,24,80.794,92.23604166666667,"HARD,SOFT"
FP2,OCO,Haas F1 Team,24,81.179,102.046375,"HARD,SOFT"
FP2,PER,Cadillac,1,118.806,118.806,SOFT
FP2,PIA,McLaren,22,79.729,96.97118181818182,"HARD,SOFT"
FP2,RUS,Mercedes,24,80.049,101.14083333333333,"HARD,SOFT"
FP2,SAI,Williams,9,82.253,102.36311111111111,MEDIUM
FP2,STR,Aston Martin,10,85.816,116.4078,SOFT
FP2,VER,Red Bull Racing,10,80.366,93.8623,"MEDIUM,SOFT"
