Lap,Category,Message,Flag,Scope,Sector,RacingNumber
0,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,
1,Flag,GREEN LIGHT - PIT EXIT OPEN,GREEN,Track,,
1,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,DOUBLE YELLOW,Sector,6.0,
1,Flag,CLEAR IN TRACK SECTOR 6,CLEAR,Sector,6.0,
1,Flag,YELLOW IN TRACK SECTOR 7,YELLOW,Sector,7.0,
1,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,DOUBLE YELLOW,Sector,6.0,
1,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,DOUBLE YELLOW,Sector,7.0,
1,Other,MEDICAL CAR DEPLOYED,,,,
1,Flag,YELLOW IN TRACK SECTOR 20,YELLOW,Sector,20.0,
1,Other,PIT EXIT CLOSED,,,,
1,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,DOUBLE YELLOW,Sector,20.0,
1,Flag,CLEAR IN TRACK SECTOR 20,CLEAR,Sector,20.0,
1,Flag,CLEAR IN TRACK SECTOR 20,CLEAR,Sector,20.0,
1,Other,INCIDENT INVOLVING CAR 27 (HUL) NOTED - STARTING PROCEDURE INFRINGEMENT,,,,
1,Flag,CLEAR IN TRACK SECTOR 7,CLEAR,Sector,7.0,
1,Flag,CLEAR IN TRACK SECTOR 6,CLEAR,Sector,6.0,
1,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 27 (HUL) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT,,,,
1,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,DOUBLE YELLOW,Sector,15.0,
1,Flag,CLEAR IN TRACK SECTOR 15,CLEAR,Sector,15.0,
1,Other,RISK OF RAIN FOR THE F1 RACE IS 0%,,,,
1,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 27 (HUL) NO FURTHER ACTION - STARTING PROCEDURE INFRINGEMENT,,,,
1,Other,OVERTAKE DISABLED,,,,
1,Other,INCIDENT INVOLVING CAR 43 (COL) NOTED - STARTING PROCEDURE INFRINGEMENT,,,,
1,Flag,GREEN LIGHT - PIT EXIT OPEN,GREEN,Track,,
1,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 43 (COL) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT,,,,
1,Other,OVERTAKE ENABLED,,,,
6,Other,CAR 10 (GAS) TIME 1:27.040 DELETED - TRACK LIMITS AT TURN 10 LAP 5 15:10:17,,,,
7,Other,CAR 5 (BOR) TIME 1:27.463 DELETED - TRACK LIMITS AT TURN 3 LAP 6 15:11:11,,,,
8,Other,FIA STEWARDS: STOP-AND-GO PENALTY FOR CAR 43 (COL) - STARTING PROCEDURE INFRINGEMENT,,,,
9,Other,TURN 11 INCIDENT INVOLVING CAR 16 (LEC) NOTED,,,,
10,Other,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CAR 16 (LEC) REVIEWED NO FURTHER INVESTIGATION,,,,
12,SafetyCar,VSC DEPLOYED,,,,
12,Flag,YELLOW IN TRACK SECTOR 13,YELLOW,Sector,13.0,
12,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,DOUBLE YELLOW,Sector,13.0,
12,Other,MARSHALS ON TRACK AT TURN 9,,,,
13,Other,FIA STEWARDS: PENALTY SERVED - STOP-AND-GO PENALTY FOR CAR 43 (COL) - STARTING PROCEDURE INFRINGEMENT,,,,
14,Flag,CLEAR IN TRACK SECTOR 13,CLEAR,Sector,13.0,
14,SafetyCar,VSC ENDING,,,,
14,Flag,TRACK CLEAR,CLEAR,Track,,
14,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:22,BLUE,Driver,,77
14,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:30,BLUE,Driver,,77
14,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:35,BLUE,Driver,,77
14,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:24:20,BLUE,Driver,,77
15,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:25:06,BLUE,Driver,,77
15,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:25:26,BLUE,Driver,,77
16,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:26:27,BLUE,Driver,,77
16,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:26:41,BLUE,Driver,,77
18,Other,CAR 23 (ALB) TIME 1:28.434 DELETED - TRACK LIMITS AT TURN 3 LAP 16 15:26:48,,,,
18,Flag,YELLOW IN TRACK SECTOR 20,YELLOW,Sector,20.0,
18,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:29:51,BLUE,Driver,,18
18,SafetyCar,VSC DEPLOYED,,,,
19,Other,PIT LANE ENTRY CLOSED,,,,
19,Flag,CLEAR IN TRACK SECTOR 20,CLEAR,Sector,20.0,
20,Other,MARSHALS ON TRACK AT PIT ENTRY,,,,
20,Other,PIT LANE ENTRY OPEN,,,,
20,SafetyCar,VSC ENDING,,,,
20,Flag,TRACK CLEAR,CLEAR,Track,,
20,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:32:43,BLUE,Driver,,18
20,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:32:55,BLUE,Driver,,18
21,Other,TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 30 (LAW) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,,,,
21,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:34:33,BLUE,Driver,,18
22,Other,CAR 30 (LAW) TIME 1:29.919 DELETED - TRACK LIMITS AT TURN 3 LAP 16 15:26:58,,,,
22,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:36:03,BLUE,Driver,,11
22,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:36:20,BLUE,Driver,,18
23,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:36:26,BLUE,Driver,,11
23,Other,TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 10 (GAS) NOTED,,,,
23,Other,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 30 (LAW) UNDER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,,,,
23,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:37:36,BLUE,Driver,,11
24,Other,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 10 (GAS) UNDER INVESTIGATION,,,,
25,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:39:46,BLUE,Driver,,11
25,Other,INCIDENT INVOLVING CAR 31 (OCO) NOTED - DRIVING UNNECESSARILY SLOWLY,,,,
26,Other,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 30 (LAW) NO FURTHER ACTION - FORCING ANOTHER DRIVER OFF THE TRACK,,,,
26,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:41:46,BLUE,Driver,,18
27,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:42:24,BLUE,Driver,,11
27,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:42:46,BLUE,Driver,,18
27,Other,INCIDENT INVOLVING CAR 11 (PER) NOTED - IGNORING BLUE FLAGS,,,,
28,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:43:59,BLUE,Driver,,11
28,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:44:39,BLUE,Driver,,18
