Driver,DriverNumber,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,Stint,Compound,TyreLife,FreshTyre,PitOutTime_sec,PitInTime_sec,Position,TrackStatus,IsPersonalBest,IsAccurate,Team
NOR,1,1.0,96.458,,18.163,38.796,229.0,291.0,304.0,217.0,1.0,MEDIUM,1.0,True,,,6.0,1,False,False,McLaren
NOR,1,2.0,87.344,31.074,18.116,38.154,243.0,287.0,303.0,260.0,1.0,MEDIUM,2.0,True,,,6.0,1,True,True,McLaren
NOR,1,3.0,86.863,30.541,18.252,38.07,245.0,311.0,286.0,273.0,1.0,MEDIUM,3.0,True,,,7.0,1,True,True,McLaren
NOR,1,4.0,85.857,30.19,18.193,37.474,249.0,304.0,283.0,276.0,1.0,MEDIUM,4.0,True,,,7.0,1,True,True,McLaren
NOR,1,5.0,85.573,29.93,17.868,37.775,260.0,297.0,280.0,276.0,1.0,MEDIUM,5.0,True,,,7.0,1,True,True,McLaren
NOR,1,6.0,85.036,30.025,17.829,37.182,256.0,313.0,293.0,273.0,1.0,MEDIUM,6.0,True,,,7.0,1,True,True,McLaren
NOR,1,7.0,84.978,30.067,17.764,37.147,253.0,316.0,297.0,285.0,1.0,MEDIUM,7.0,True,,,7.0,1,True,True,McLaren
NOR,1,8.0,85.299,30.191,17.97,37.138,253.0,311.0,298.0,280.0,1.0,MEDIUM,8.0,True,,,7.0,1,False,True,McLaren
NOR,1,9.0,85.639,30.135,17.77,37.734,262.0,315.0,284.0,276.0,1.0,MEDIUM,9.0,True,,,7.0,1,False,True,McLaren
NOR,1,10.0,85.295,30.117,17.924,37.254,261.0,311.0,295.0,277.0,1.0,MEDIUM,10.0,True,,,7.0,1,False,True,McLaren
NOR,1,11.0,103.391,30.117,17.987,55.287,251.0,309.0,,289.0,1.0,MEDIUM,11.0,True,,4695.593,9.0,16,False,False,McLaren
NOR,1,12.0,118.075,44.892,27.737,45.446,238.0,127.0,201.0,230.0,2.0,HARD,1.0,True,4714.141,,9.0,6,False,False,McLaren
NOR,1,13.0,111.932,41.529,27.589,42.814,230.0,146.0,289.0,203.0,2.0,HARD,2.0,True,,,9.0,671,False,False,McLaren
NOR,1,14.0,84.233,29.882,17.87,36.481,251.0,306.0,287.0,279.0,2.0,HARD,3.0,True,,,9.0,1,True,True,McLaren
NOR,1,15.0,83.784,29.402,17.899,36.483,269.0,301.0,288.0,278.0,2.0,HARD,4.0,True,,,9.0,1,True,True,McLaren
NOR,1,16.0,83.912,29.524,17.919,36.469,255.0,301.0,290.0,286.0,2.0,HARD,5.0,True,,,9.0,1,False,True,McLaren
NOR,1,17.0,84.053,29.442,18.015,36.596,262.0,303.0,291.0,287.0,2.0,HARD,6.0,True,,,9.0,1,False,True,McLaren
NOR,1,18.0,95.404,29.758,17.788,47.858,259.0,312.0,223.0,291.0,2.0,HARD,7.0,True,,,5.0,126,False,False,McLaren
NOR,1,19.0,116.07,42.456,22.738,50.876,184.0,238.0,278.0,184.0,2.0,HARD,8.0,True,,,5.0,67,False,False,McLaren
NOR,1,20.0,85.774,30.612,18.63,36.532,259.0,290.0,282.0,219.0,2.0,HARD,9.0,True,,,5.0,71,False,False,McLaren
