Driver,Team,Position,LapNumber,GapToANT_sec
ANT,Mercedes,1,1,0.0
ANT,Mercedes,1,2,0.0
ANT,Mercedes,1,3,0.0
ANT,Mercedes,1,4,0.0
ANT,Mercedes,1,5,0.0
ANT,Mercedes,1,6,0.0
ANT,Mercedes,1,7,0.0
ANT,Mercedes,1,8,0.0
ANT,Mercedes,1,9,0.0
ANT,Mercedes,1,10,0.0
ANT,Mercedes,1,11,0.0
ANT,Mercedes,1,12,0.0
ANT,Mercedes,1,13,0.0
ANT,Mercedes,1,14,0.0
ANT,Mercedes,1,15,0.0
ANT,Mercedes,1,16,0.0
ANT,Mercedes,1,17,0.0
ANT,Mercedes,1,18,0.0
ANT,Mercedes,1,19,0.0
ANT,Mercedes,1,20,0.0
ANT,Mercedes,1,21,0.0
ANT,Mercedes,1,22,0.0
ANT,Mercedes,1,23,0.0
ANT,Mercedes,1,24,0.0
ANT,Mercedes,1,25,0.0
ANT,Mercedes,1,26,0.0
ANT,Mercedes,1,27,0.0
ANT,Mercedes,1,28,0.0
ANT,Mercedes,1,29,0.0
ANT,Mercedes,1,30,0.0
ANT,Mercedes,1,31,0.0
ANT,Mercedes,1,32,0.0
ANT,Mercedes,1,33,0.0
ANT,Mercedes,1,34,0.0
ANT,Mercedes,1,35,0.0
ANT,Mercedes,1,36,0.0
ANT,Mercedes,1,37,0.0
ANT,Mercedes,1,38,0.0
ANT,Mercedes,1,39,0.0
ANT,Mercedes,1,40,0.0
ANT,Mercedes,1,41,0.0
ANT,Mercedes,1,42,0.0
ANT,Mercedes,1,43,0.0
ANT,Mercedes,1,44,0.0
ANT,Mercedes,1,45,0.0
ANT,Mercedes,1,46,0.0
ANT,Mercedes,1,47,0.0
ANT,Mercedes,1,48,0.0
ANT,Mercedes,1,49,0.0
ANT,Mercedes,1,50,0.0
ANT,Mercedes,1,51,0.0
ANT,Mercedes,1,52,0.0
ANT,Mercedes,1,53,0.0
ANT,Mercedes,1,54,0.0
ANT,Mercedes,1,55,0.0
ANT,Mercedes,1,56,0.0
RUS,Mercedes,2,1,1.678
RUS,Mercedes,2,2,1.448
RUS,Mercedes,2,3,1.56
RUS,Mercedes,2,4,1.259
RUS,Mercedes,2,5,1.186
RUS,Mercedes,2,6,1.389
RUS,Mercedes,2,7,1.36
RUS,Mercedes,2,8,1.304
RUS,Mercedes,2,9,1.209
RUS,Mercedes,2,10,7.317
RUS,Mercedes,2,11,2.904
RUS,Mercedes,2,12,2.661
RUS,Mercedes,2,13,1.423
RUS,Mercedes,2,14,3.054
RUS,Mercedes,2,15,3.742
RUS,Mercedes,2,16,4.67
RUS,Mercedes,2,17,4.535
RUS,Mercedes,2,18,3.789
RUS,Mercedes,2,19,3.641
RUS,Mercedes,2,20,3.496
RUS,Mercedes,2,21,3.23
RUS,Mercedes,2,22,3.512
RUS,Mercedes,2,23,3.267
RUS,Mercedes,2,24,4.199
RUS,Mercedes,2,25,5.748
RUS,Mercedes,2,26,6.347
RUS,Mercedes,2,27,7.528
RUS,Mercedes,2,28,7.91
RUS,Mercedes,2,29,7.687
RUS,Mercedes,2,30,7.959
RUS,Mercedes,2,31,8.058
RUS,Mercedes,2,32,8.052
RUS,Mercedes,2,33,7.716
RUS,Mercedes,2,34,7.547
RUS,Mercedes,2,35,7.672
RUS,Mercedes,2,36,7.572
RUS,Mercedes,2,37,6.944
RUS,Mercedes,2,38,6.947
RUS,Mercedes,2,39,6.95
RUS,Mercedes,2,40,6.436
RUS,Mercedes,2,41,6.734
RUS,Mercedes,2,42,7.465
RUS,Mercedes,2,43,7.173
