Session,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,PitOutTime_sec,PitInTime_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Position,IsAccurate
FP1,NOR,McLaren,1.0,1.0,MEDIUM,1.0,,,36.604,50.656,898.051,,252.0,243.0,227.0,282.0,False,,False
FP1,NOR,McLaren,2.0,1.0,MEDIUM,2.0,106.73,28.276,32.957,45.497,,,255.0,259.0,257.0,284.0,True,,True
FP1,NOR,McLaren,3.0,1.0,MEDIUM,3.0,97.542,25.762,29.433,42.347,,,275.0,267.0,244.0,312.0,True,,True
FP1,NOR,McLaren,4.0,1.0,MEDIUM,4.0,123.126,31.004,36.784,55.338,,1351.721,207.0,218.0,,293.0,False,,False
FP1,NOR,McLaren,5.0,2.0,MEDIUM,5.0,,55.215,46.507,64.313,1380.175,,205.0,203.0,249.0,255.0,False,,False
FP1,NOR,McLaren,6.0,2.0,MEDIUM,6.0,108.094,27.416,31.201,49.477,,,254.0,148.0,257.0,292.0,False,,True
FP1,NOR,McLaren,7.0,2.0,MEDIUM,7.0,137.294,24.861,30.153,82.28,,,279.0,114.0,213.0,109.0,False,,False
FP1,NOR,McLaren,8.0,2.0,MEDIUM,8.0,121.882,30.039,33.544,58.299,,,239.0,233.0,243.0,207.0,False,,False
FP1,NOR,McLaren,9.0,2.0,MEDIUM,9.0,109.021,28.921,30.812,49.288,,,261.0,267.0,274.0,274.0,False,,False
FP1,NOR,McLaren,10.0,2.0,MEDIUM,10.0,95.572,24.857,28.836,41.879,,,279.0,274.0,245.0,306.0,True,,True
FP1,NOR,McLaren,11.0,2.0,MEDIUM,11.0,116.553,33.376,33.525,49.652,,,248.0,261.0,272.0,294.0,False,,True
FP1,NOR,McLaren,12.0,2.0,MEDIUM,12.0,114.401,32.952,33.881,47.568,,,266.0,255.0,271.0,293.0,False,,True
FP1,NOR,McLaren,13.0,2.0,MEDIUM,13.0,102.826,24.907,28.862,49.057,,2423.382,278.0,272.0,,305.0,False,,False
FP1,NOR,McLaren,14.0,3.0,MEDIUM,14.0,,,31.036,44.362,2871.583,,239.0,259.0,273.0,293.0,False,,False
FP1,NOR,McLaren,15.0,3.0,MEDIUM,15.0,98.882,25.427,29.527,43.928,,,275.0,260.0,269.0,300.0,False,,True
FP1,NOR,McLaren,16.0,3.0,MEDIUM,16.0,100.206,25.936,29.962,44.308,,,283.0,273.0,273.0,322.0,False,,True
FP1,NOR,McLaren,17.0,3.0,MEDIUM,17.0,97.747,25.665,29.597,42.485,,,277.0,263.0,273.0,311.0,False,,True
FP1,NOR,McLaren,18.0,3.0,MEDIUM,18.0,97.366,25.63,29.478,42.258,,,276.0,262.0,273.0,307.0,False,,True
FP1,NOR,McLaren,19.0,3.0,MEDIUM,19.0,97.795,25.781,29.485,42.529,,,276.0,266.0,273.0,318.0,False,,True
FP1,NOR,McLaren,20.0,3.0,MEDIUM,20.0,103.805,25.774,29.923,48.108,,3568.296,273.0,259.0,,302.0,False,,False
FP1,NOR,McLaren,21.0,4.0,SOFT,1.0,,,30.222,44.677,3828.413,,262.0,266.0,273.0,285.0,False,,False
FP1,NOR,McLaren,22.0,4.0,SOFT,2.0,93.7,24.337,28.275,41.088,,,288.0,272.0,258.0,309.0,True,,True
FP1,NOR,McLaren,23.0,4.0,SOFT,3.0,125.589,33.422,36.51,55.657,,,207.0,201.0,276.0,273.0,False,,True
FP1,NOR,McLaren,24.0,4.0,SOFT,4.0,93.745,24.43,28.305,41.01,,,294.0,274.0,258.0,312.0,False,,True
FP1,NOR,McLaren,25.0,4.0,SOFT,5.0,125.306,33.232,40.959,51.115,,,168.0,150.0,275.0,298.0,False,,True
FP1,NOR,McLaren,26.0,4.0,SOFT,6.0,93.296,24.358,28.258,40.68,,,289.0,275.0,257.0,311.0,True,,True
FP1,NOR,McLaren,27.0,4.0,SOFT,7.0,126.301,32.593,35.021,58.687,,,181.0,224.0,42.0,287.0,False,,True
FP1,NOR,McLaren,28.0,4.0,SOFT,8.0,,70.602,31.252,53.108,,,304.0,245.0,109.0,233.0,False,,False
FP1,NOR,McLaren,29.0,4.0,SOFT,9.0,,66.678,28.96,58.752,,4894.896,304.0,260.0,,185.0,False,,False
FP1,VER,Red Bull Racing,1.0,1.0,MEDIUM,1.0,,,33.719,48.811,914.804,,240.0,243.0,241.0,286.0,False,,False
FP1,VER,Red Bull Racing,2.0,1.0,MEDIUM,2.0,106.986,27.885,31.257,47.844,,,224.0,258.0,275.0,253.0,True,,True
FP1,VER,Red Bull Racing,3.0,1.0,MEDIUM,3.0,96.052,25.152,28.977,41.923,,,294.0,283.0,254.0,307.0,True,,True
FP1,VER,Red Bull Racing,4.0,1.0,MEDIUM,4.0,127.672,31.821,39.111,56.74,,,187.0,242.0,273.0,238.0,False,,True
FP1,VER,Red Bull Racing,5.0,1.0,MEDIUM,5.0,133.324,25.066,36.221,72.037,,,292.0,151.0,274.0,258.0,False,,False
FP1,VER,Red Bull Racing,6.0,1.0,MEDIUM,6.0,96.04,24.962,28.807,42.271,,,291.0,282.0,264.0,299.0,True,,True
FP1,VER,Red Bull Racing,7.0,1.0,MEDIUM,7.0,117.654,28.428,32.023,57.203,,1711.884,244.0,246.0,,174.0,False,,False
FP1,VER,Red Bull Racing,8.0,2.0,MEDIUM,8.0,,,31.001,43.466,2698.3,,249.0,269.0,273.0,306.0,False,,False
