Session,Driver,Team,TotalLaps,BestLap,MeanLap,Compounds
FP1,RUS,Mercedes,23,92.741,105.15817391304347,"MEDIUM,SOFT"
FP1,ANT,Mercedes,23,92.861,105.92152173913044,"MEDIUM,SOFT"
FP1,NOR,McLaren,23,93.296,108.12082608695653,"MEDIUM,SOFT"
FP1,PIA,McLaren,24,93.472,110.55245833333333,"MEDIUM,SOFT"
FP1,LEC,Ferrari,24,93.599,113.86033333333334,"MEDIUM,SOFT"
FP1,HAM,Ferrari,19,94.129,115.14736842105265,"MEDIUM,SOFT"
FP1,BEA,Haas F1 Team,21,94.426,110.02819047619047,"MEDIUM,SOFT"
FP1,VER,Red Bull Racing,21,94.541,111.5375238095238,"MEDIUM,SOFT"
FP1,HUL,Audi,23,94.639,111.99952173913043,"MEDIUM,SOFT"
FP1,GAS,Alpine,23,94.676,113.04204347826088,"MEDIUM,SOFT"
FP1,LAW,Racing Bulls,23,94.773,108.42904347826087,"MEDIUM,SOFT"
FP1,BOR,Audi,20,94.828,111.9656,"MEDIUM,SOFT"
FP1,HAD,Red Bull Racing,22,94.856,112.33690909090909,"MEDIUM,SOFT"
FP1,OCO,Haas F1 Team,19,94.877,113.1134210526316,"MEDIUM,SOFT"
FP1,COL,Alpine,21,94.947,110.57838095238097,"MEDIUM,SOFT"
FP1,ALB,Williams,25,95.48,109.26584000000001,"MEDIUM,SOFT"
FP1,SAI,Williams,14,95.679,107.88585714285715,"MEDIUM,SOFT"
FP1,ALO,Aston Martin,13,95.856,108.76461538461538,"SOFT,MEDIUM"
FP1,BOT,Cadillac,21,96.057,113.02552380952382,"MEDIUM,SOFT"
FP1,STR,Aston Martin,15,97.224,119.23313333333334,"SOFT,MEDIUM"
FP1,LIN,Racing Bulls,4,97.896,113.78125,MEDIUM
FP1,PER,Cadillac,11,99.2,115.93627272727272,MEDIUM
