Driver,DriverNumber,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,Stint,Compound,TyreLife,FreshTyre,PitOutTime_sec,PitInTime_sec,Position,IsPersonalBest,IsAccurate,Team
ANT,12,1.0,,,31.796,52.366,223.0,262.0,276.0,227.0,1.0,SOFT,1.0,True,1271.543,,,False,False,Mercedes
ANT,12,2.0,93.305,24.288,28.048,40.969,283.0,276.0,260.0,311.0,1.0,SOFT,2.0,True,,,,True,True,Mercedes
ANT,12,3.0,122.47,35.87,33.268,53.332,168.0,243.0,,202.0,1.0,SOFT,3.0,True,,1596.396,,False,False,Mercedes
ANT,12,4.0,,,30.815,45.794,241.0,260.0,278.0,243.0,2.0,SOFT,4.0,False,2394.384,,,False,False,Mercedes
ANT,12,5.0,92.95,24.156,27.861,40.933,285.0,272.0,251.0,311.0,2.0,SOFT,5.0,False,,,,True,True,Mercedes
ANT,12,6.0,145.284,29.606,56.034,59.644,118.0,240.0,,101.0,2.0,SOFT,6.0,False,,2733.957,,False,False,Mercedes
ANT,12,7.0,,,36.839,45.507,253.0,261.0,280.0,249.0,3.0,SOFT,1.0,True,3016.034,,,False,False,Mercedes
ANT,12,8.0,92.443,24.141,27.726,40.576,286.0,279.0,256.0,314.0,3.0,SOFT,2.0,True,,,,True,True,Mercedes
ANT,12,9.0,121.273,30.445,37.844,52.984,228.0,255.0,,293.0,3.0,SOFT,3.0,True,,3340.144,,False,False,Mercedes
ANT,12,10.0,,,30.145,45.507,243.0,263.0,278.0,240.0,4.0,SOFT,1.0,True,3713.555,,,False,False,Mercedes
ANT,12,11.0,92.322,24.003,27.714,40.605,285.0,273.0,251.0,310.0,4.0,SOFT,2.0,True,,,,True,True,Mercedes
ANT,12,12.0,108.256,27.758,31.08,49.418,244.0,249.0,,290.0,4.0,SOFT,3.0,True,,4015.066,,False,False,Mercedes
ANT,12,13.0,,,30.303,44.716,223.0,255.0,279.0,250.0,5.0,SOFT,1.0,True,4250.568,,,False,False,Mercedes
ANT,12,14.0,92.064,24.013,27.664,40.387,286.0,276.0,253.0,308.0,5.0,SOFT,2.0,True,,,,True,True,Mercedes
ANT,12,15.0,118.062,28.716,31.585,57.761,229.0,233.0,,278.0,5.0,SOFT,3.0,True,,4557.507,,False,False,Mercedes
RUS,63,1.0,,,31.251,50.605,253.0,261.0,279.0,249.0,1.0,SOFT,1.0,True,1288.268,,,False,False,Mercedes
RUS,63,2.0,93.262,24.208,28.109,40.945,289.0,278.0,256.0,311.0,1.0,SOFT,2.0,True,,,,True,True,Mercedes
RUS,63,3.0,131.474,38.378,37.882,55.214,180.0,263.0,,293.0,1.0,SOFT,3.0,True,,1619.861,,False,False,Mercedes
RUS,63,4.0,,,30.505,46.921,256.0,263.0,279.0,253.0,2.0,SOFT,4.0,False,2400.447,,,False,False,Mercedes
RUS,63,5.0,92.523,24.085,27.868,40.57,285.0,270.0,258.0,317.0,2.0,SOFT,5.0,False,,,,True,True,Mercedes
RUS,63,6.0,116.245,29.371,34.46,52.414,190.0,266.0,,296.0,2.0,SOFT,6.0,False,,2714.617,,False,False,Mercedes
RUS,63,7.0,,,30.502,49.316,222.0,253.0,280.0,252.0,3.0,SOFT,1.0,True,3026.193,,,False,False,Mercedes
RUS,63,8.0,117.937,26.726,41.01,50.201,202.0,203.0,256.0,281.0,3.0,SOFT,2.0,True,,,,False,True,Mercedes
RUS,63,9.0,105.617,24.539,29.898,51.18,285.0,273.0,,292.0,3.0,SOFT,3.0,True,,3358.01,,False,False,Mercedes
RUS,63,10.0,,,58.848,94.919,98.0,102.0,,100.0,4.0,SOFT,1.0,True,3717.563,3954.683,,False,False,Mercedes
RUS,63,11.0,,,29.114,47.818,258.0,264.0,281.0,236.0,5.0,SOFT,1.0,True,4364.613,,,False,False,Mercedes
RUS,63,12.0,92.286,24.012,27.783,40.491,282.0,272.0,256.0,309.0,5.0,SOFT,2.0,True,,,,True,True,Mercedes
RUS,63,13.0,132.756,35.643,35.242,61.871,195.0,215.0,,219.0,5.0,SOFT,3.0,True,,4691.21,,False,False,Mercedes
HAM,44,1.0,,,30.734,53.902,269.0,230.0,270.0,200.0,1.0,MEDIUM,6.0,False,991.545,,,False,False,Ferrari
HAM,44,2.0,95.892,24.728,29.555,41.609,276.0,259.0,258.0,307.0,1.0,MEDIUM,7.0,False,,,,True,True,Ferrari
HAM,44,3.0,118.798,29.407,31.384,58.007,270.0,263.0,,259.0,1.0,MEDIUM,8.0,False,,1316.465,,False,False,Ferrari
HAM,44,4.0,,84.688,32.719,48.64,274.0,268.0,276.0,252.0,2.0,SOFT,1.0,True,1370.179,,,False,False,Ferrari
HAM,44,5.0,93.522,24.336,28.133,41.053,271.0,275.0,252.0,308.0,2.0,SOFT,2.0,True,,,,True,True,Ferrari
HAM,44,6.0,131.966,35.543,37.622,58.801,190.0,229.0,,250.0,2.0,SOFT,3.0,True,,1709.665,,False,False,Ferrari
HAM,44,7.0,,,31.127,51.44,263.0,174.0,276.0,246.0,3.0,SOFT,4.0,False,2416.702,,,False,False,Ferrari
HAM,44,8.0,92.834,24.21,27.771,40.853,270.0,272.0,255.0,307.0,3.0,SOFT,5.0,False,,,,True,True,Ferrari
HAM,44,9.0,115.967,30.675,33.993,51.299,231.0,251.0,,259.0,3.0,SOFT,6.0,False,,2737.53,,False,False,Ferrari
HAM,44,10.0,,,30.359,49.481,269.0,266.0,277.0,220.0,4.0,SOFT,1.0,True,2903.728,,,False,False,Ferrari
HAM,44,11.0,92.567,24.156,27.807,40.604,270.0,273.0,255.0,306.0,4.0,SOFT,2.0,True,,,,True,True,Ferrari
HAM,44,12.0,126.863,30.666,36.637,59.56,228.0,205.0,276.0,253.0,4.0,SOFT,3.0,True,,,,False,True,Ferrari
HAM,44,13.0,106.805,24.28,27.827,54.698,269.0,271.0,,310.0,4.0,SOFT,4.0,True,,3338.783,,False,False,Ferrari
