Lap,Category,Message,Flag,Scope,Sector,RacingNumber
1,Flag,GREEN LIGHT - PIT EXIT OPEN,GREEN,Track,,
1,Other,PIT EXIT CLOSED,,,,
1,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,DOUBLE YELLOW,Sector,11.0,
1,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,DOUBLE YELLOW,Sector,12.0,
1,Flag,CLEAR IN TRACK SECTOR 12,CLEAR,Sector,12.0,
1,Flag,CLEAR IN TRACK SECTOR 11,CLEAR,Sector,11.0,
1,Other,OVERTAKE DISABLED,,,,
1,Flag,GREEN LIGHT - PIT EXIT OPEN,GREEN,Track,,
1,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,DOUBLE YELLOW,Sector,4.0,
1,Flag,YELLOW IN TRACK SECTOR 3,YELLOW,Sector,3.0,
1,Flag,CLEAR IN TRACK SECTOR 3,CLEAR,Sector,3.0,
1,Flag,CLEAR IN TRACK SECTOR 4,CLEAR,Sector,4.0,
1,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,DOUBLE YELLOW,Sector,15.0,
1,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,,,,
1,Flag,YELLOW IN TRACK SECTOR 15,YELLOW,Sector,15.0,
1,Flag,CLEAR IN TRACK SECTOR 15,CLEAR,Sector,15.0,
1,Other,OVERTAKE ENABLED,,,,
2,Flag,CLEAR IN TRACK SECTOR 4,CLEAR,Sector,4.0,
3,Other,TURN 3 INCIDENT INVOLVING CARS 11 (PER) AND 77 (BOT) NOTED - CAUSING A COLLISION,,,,
5,Other,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 11 (PER) AND 77 (BOT) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,,,,
7,Other,CAR 3 (VER) TIME 1:39.582 DELETED - TRACK LIMITS AT TURN 2 LAP 5 15:10:57,,,,
10,Flag,YELLOW IN TRACK SECTOR 3,YELLOW,Sector,3.0,
10,Flag,YELLOW IN TRACK SECTOR 2,YELLOW,Sector,2.0,
10,SafetyCar,SAFETY CAR DEPLOYED,,,,
11,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,DOUBLE YELLOW,Sector,3.0,
11,Other,MARSHALS ON TRACK AT TURN 2,,,,
11,Other,RECOVERY VEHICLE ON TRACK AT TURN 2,,,,
12,Flag,CLEAR IN TRACK SECTOR 2,CLEAR,Sector,2.0,
12,Flag,CLEAR IN TRACK SECTOR 3,CLEAR,Sector,3.0,
13,SafetyCar,SAFETY CAR IN THIS LAP,,,,
13,Flag,TRACK CLEAR,CLEAR,Track,,
14,Other,OVERTAKE ENABLED,,,,
16,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 16,,,,
18,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,DOUBLE YELLOW,Sector,16.0,
