Driver,DriverNumber,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,Stint,Compound,TyreLife,FreshTyre,PitOutTime_sec,PitInTime_sec,Position,TrackStatus,IsPersonalBest,IsAccurate,Team
NOR,1,1.0,,,,,,,,,1.0,HARD,1.0,True,,,,12,False,False,McLaren
GAS,10,1.0,102.591,,30.332,42.559,283.0,265.0,272.0,337.0,1.0,MEDIUM,1.0,True,,,5.0,12,False,False,Alpine
GAS,10,2.0,98.917,26.232,30.273,42.412,275.0,261.0,268.0,320.0,1.0,MEDIUM,2.0,True,,,5.0,1,True,True,Alpine
GAS,10,3.0,98.923,26.327,30.046,42.55,272.0,261.0,265.0,314.0,1.0,MEDIUM,3.0,True,,,5.0,1,False,True,Alpine
GAS,10,4.0,98.717,26.278,29.879,42.56,274.0,260.0,269.0,314.0,1.0,MEDIUM,4.0,True,,,5.0,1,True,True,Alpine
GAS,10,5.0,98.474,26.142,29.826,42.506,272.0,259.0,269.0,312.0,1.0,MEDIUM,5.0,True,,,5.0,1,True,True,Alpine
GAS,10,6.0,98.298,26.134,29.798,42.366,272.0,262.0,271.0,314.0,1.0,MEDIUM,6.0,True,,,5.0,1,True,True,Alpine
GAS,10,7.0,98.635,26.039,30.089,42.507,272.0,258.0,268.0,313.0,1.0,MEDIUM,7.0,True,,,5.0,1,False,True,Alpine
GAS,10,8.0,98.427,26.03,29.874,42.523,272.0,258.0,267.0,312.0,1.0,MEDIUM,8.0,True,,,5.0,1,False,True,Alpine
GAS,10,9.0,98.609,26.192,29.903,42.514,272.0,257.0,268.0,311.0,1.0,MEDIUM,9.0,True,,,5.0,1,False,True,Alpine
GAS,10,10.0,112.994,26.099,29.86,57.035,271.0,258.0,,215.0,1.0,MEDIUM,10.0,True,,4387.031,5.0,124,False,False,Alpine
GAS,10,11.0,,54.68,40.781,63.178,238.0,221.0,203.0,257.0,2.0,HARD,1.0,True,4410.471,,9.0,4,False,False,Alpine
GAS,10,12.0,,42.739,44.215,63.121,207.0,200.0,157.0,154.0,2.0,HARD,2.0,True,,,9.0,4,False,False,Alpine
GAS,10,13.0,145.559,36.457,45.437,63.665,207.0,183.0,250.0,184.0,2.0,HARD,3.0,True,,,9.0,41,False,False,Alpine
GAS,10,14.0,100.408,27.047,30.627,42.734,279.0,264.0,266.0,328.0,2.0,HARD,4.0,True,,,10.0,1,False,True,Alpine
GAS,10,15.0,98.883,26.131,30.252,42.5,282.0,272.0,268.0,353.0,2.0,HARD,5.0,True,,,10.0,1,False,True,Alpine
GAS,10,16.0,98.644,26.058,30.253,42.333,287.0,270.0,274.0,338.0,2.0,HARD,6.0,True,,,9.0,1,False,True,Alpine
GAS,10,17.0,98.238,25.803,30.3,42.135,286.0,269.0,271.0,337.0,2.0,HARD,7.0,True,,,8.0,1,True,True,Alpine
GAS,10,18.0,97.593,25.714,29.545,42.334,282.0,263.0,255.0,343.0,2.0,HARD,8.0,True,,,8.0,12,True,True,Alpine
GAS,10,19.0,99.325,26.154,30.545,42.626,280.0,259.0,271.0,327.0,2.0,HARD,9.0,True,,,8.0,1,False,True,Alpine
GAS,10,20.0,99.504,27.158,30.103,42.243,280.0,266.0,273.0,332.0,2.0,HARD,10.0,True,,,9.0,1,False,True,Alpine
GAS,10,21.0,99.208,26.059,30.115,43.034,284.0,272.0,248.0,343.0,2.0,HARD,11.0,True,,,9.0,1,False,True,Alpine
GAS,10,22.0,99.338,26.564,30.393,42.381,277.0,268.0,274.0,333.0,2.0,HARD,12.0,True,,,10.0,1,False,True,Alpine
GAS,10,23.0,98.067,25.759,30.001,42.307,291.0,269.0,273.0,328.0,2.0,HARD,13.0,True,,,9.0,1,False,True,Alpine
GAS,10,24.0,98.373,25.781,29.894,42.698,283.0,269.0,267.0,336.0,2.0,HARD,14.0,True,,,9.0,1,False,True,Alpine
GAS,10,25.0,98.568,26.28,30.069,42.219,280.0,265.0,276.0,335.0,2.0,HARD,15.0,True,,,9.0,1,False,True,Alpine
GAS,10,26.0,97.82,25.953,29.802,42.065,280.0,270.0,274.0,333.0,2.0,HARD,16.0,True,,,9.0,1,False,True,Alpine
GAS,10,27.0,98.163,25.744,29.934,42.485,286.0,270.0,271.0,332.0,2.0,HARD,17.0,True,,,9.0,12,False,True,Alpine
GAS,10,28.0,98.225,25.886,29.866,42.473,284.0,269.0,268.0,335.0,2.0,HARD,18.0,True,,,8.0,21,False,True,Alpine
GAS,10,29.0,97.566,25.857,29.475,42.234,273.0,258.0,271.0,312.0,2.0,HARD,19.0,True,,,7.0,1,True,True,Alpine
GAS,10,30.0,98.132,25.679,29.518,42.935,272.0,260.0,270.0,311.0,2.0,HARD,20.0,True,,,7.0,1,False,True,Alpine
GAS,10,31.0,97.634,25.811,29.447,42.376,273.0,259.0,270.0,309.0,2.0,HARD,21.0,True,,,7.0,1,False,True,Alpine
GAS,10,32.0,97.253,25.75,29.413,42.09,273.0,260.0,273.0,313.0,2.0,HARD,22.0,True,,,7.0,1,True,True,Alpine
GAS,10,33.0,97.123,25.649,29.312,42.162,273.0,260.0,272.0,313.0,2.0,HARD,23.0,True,,,7.0,12,True,True,Alpine
GAS,10,34.0,97.193,25.703,29.32,42.17,273.0,258.0,271.0,313.0,2.0,HARD,24.0,True,,,7.0,1,False,True,Alpine
GAS,10,35.0,97.293,25.72,29.432,42.141,274.0,260.0,271.0,312.0,2.0,HARD,25.0,True,,,7.0,1,False,True,Alpine
GAS,10,36.0,97.103,25.743,29.398,41.962,273.0,261.0,273.0,313.0,2.0,HARD,26.0,True,,,7.0,1,True,True,Alpine
GAS,10,37.0,96.752,25.561,29.247,41.944,274.0,261.0,274.0,314.0,2.0,HARD,27.0,True,,,7.0,1,True,True,Alpine
GAS,10,38.0,96.672,25.579,29.221,41.872,274.0,261.0,274.0,313.0,2.0,HARD,28.0,True,,,7.0,1,True,True,Alpine
GAS,10,39.0,96.754,25.596,29.263,41.895,275.0,263.0,273.0,313.0,2.0,HARD,29.0,True,,,7.0,1,False,True,Alpine
GAS,10,40.0,96.865,25.632,29.297,41.936,275.0,261.0,273.0,314.0,2.0,HARD,30.0,True,,,7.0,1,False,True,Alpine
GAS,10,41.0,97.214,25.596,29.407,42.211,277.0,260.0,275.0,315.0,2.0,HARD,31.0,True,,,7.0,1,False,True,Alpine
GAS,10,42.0,97.026,25.53,29.337,42.159,275.0,261.0,274.0,314.0,2.0,HARD,32.0,True,,,7.0,1,False,True,Alpine
GAS,10,43.0,96.877,25.507,29.286,42.084,276.0,261.0,275.0,313.0,2.0,HARD,33.0,True,,,7.0,1,False,True,Alpine
GAS,10,44.0,96.764,25.497,29.267,42.0,276.0,265.0,274.0,315.0,2.0,HARD,34.0,True,,,7.0,1,False,True,Alpine
GAS,10,45.0,96.895,25.484,29.296,42.115,277.0,262.0,275.0,313.0,2.0,HARD,35.0,True,,,6.0,1,False,True,Alpine
GAS,10,46.0,96.748,25.528,29.293,41.927,276.0,262.0,273.0,314.0,2.0,HARD,36.0,True,,,6.0,1,False,True,Alpine
GAS,10,47.0,97.584,25.608,29.299,42.677,277.0,262.0,274.0,316.0,2.0,HARD,37.0,True,,,6.0,1,False,True,Alpine
GAS,10,48.0,97.01,25.56,29.288,42.162,275.0,261.0,275.0,312.0,2.0,HARD,38.0,True,,,6.0,1,False,True,Alpine
GAS,10,49.0,96.752,25.496,29.22,42.036,278.0,263.0,277.0,319.0,2.0,HARD,39.0,True,,,6.0,1,False,True,Alpine
GAS,10,50.0,97.04,25.51,29.456,42.074,279.0,268.0,275.0,328.0,2.0,HARD,40.0,True,,,6.0,1,False,True,Alpine
