Driver,Team,BestLap,Laps,BestS1,BestS2,BestS3
RUS,Mercedes,91.666,21,32.965,40.322,18.102
ANT,Mercedes,91.692,21,33.183,40.258,17.887
NOR,McLaren,91.798,17,33.176,40.719,17.903
PIA,McLaren,91.865,20,33.133,40.689,17.957
LEC,Ferrari,91.955,21,32.984,40.59,18.091
HAM,Ferrari,92.04,16,33.249,40.771,17.952
VER,Red Bull Racing,92.457,23,33.292,41.096,17.983
LAW,Racing Bulls,92.529,23,33.519,40.807,17.942
OCO,Haas F1 Team,92.601,18,33.392,40.923,17.919
LIN,Racing Bulls,92.665,25,33.681,41.015,17.865
BOR,Audi,92.759,22,33.494,41.082,18.013
HUL,Audi,92.798,20,33.704,41.028,17.852
HAD,Red Bull Racing,92.803,23,33.491,41.261,17.894
BEA,Haas F1 Team,92.9,21,33.44,41.365,17.944
GAS,Alpine,92.978,20,33.351,41.292,18.036
COL,Alpine,93.361,19,34.122,41.118,18.051
SAI,Williams,93.383,22,33.971,41.17,18.054
ALB,Williams,93.697,16,33.819,41.333,18.249
PER,Cadillac,94.221,15,34.127,41.684,18.346
BOT,Cadillac,94.49,20,34.401,41.739,18.044
STR,Aston Martin,95.294,17,34.508,42.324,18.403
CRA,Aston Martin,96.362,8,34.927,42.791,18.644
