Session,Driver,DriverNumber,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,Stint,Compound,TyreLife,FreshTyre,PitOutTime_sec,PitInTime_sec,Position,TrackStatus,IsPersonalBest,IsAccurate,Team
FP1,NOR,1,1.0,,,47.991,28.662,255.0,264.0,,140.0,1.0,MEDIUM,1.0,True,906.027,1045.417,,671,False,False,McLaren
FP1,NOR,1,2.0,,,45.227,21.57,269.0,255.0,268.0,254.0,2.0,MEDIUM,2.0,False,2178.187,,,1,False,False,McLaren
FP1,NOR,1,3.0,94.595,33.696,42.133,18.766,267.0,312.0,254.0,273.0,2.0,MEDIUM,3.0,False,,,,1,False,True,McLaren
FP1,NOR,1,4.0,124.621,43.813,56.858,23.95,173.0,270.0,269.0,174.0,2.0,MEDIUM,4.0,False,,,,1,True,True,McLaren
FP1,NOR,1,5.0,93.151,33.658,41.167,18.326,264.0,312.0,253.0,273.0,2.0,MEDIUM,5.0,False,,,,1,True,True,McLaren
FP1,NOR,1,6.0,142.135,47.169,60.13,34.836,204.0,234.0,270.0,155.0,2.0,MEDIUM,6.0,False,,,,1,False,True,McLaren
FP1,NOR,1,7.0,104.45,33.783,50.633,20.034,270.0,272.0,277.0,259.0,2.0,MEDIUM,7.0,False,,,,1,False,True,McLaren
FP1,NOR,1,8.0,92.517,33.186,41.156,18.175,266.0,311.0,255.0,272.0,2.0,MEDIUM,8.0,False,,,,1,True,True,McLaren
FP1,NOR,1,9.0,123.332,43.66,59.129,20.543,206.0,266.0,267.0,256.0,2.0,MEDIUM,9.0,False,,,,1,False,True,McLaren
FP1,NOR,1,10.0,92.276,33.237,40.939,18.1,270.0,316.0,257.0,273.0,2.0,MEDIUM,10.0,False,,,,1,True,True,McLaren
FP1,NOR,1,11.0,114.351,43.365,48.711,22.275,260.0,278.0,,260.0,2.0,MEDIUM,11.0,False,,3281.654,,1,False,False,McLaren
FP1,NOR,1,12.0,,,43.287,24.995,260.0,283.0,250.0,249.0,3.0,SOFT,1.0,True,3745.83,,,1,False,False,McLaren
FP1,NOR,1,13.0,109.156,35.012,52.158,21.986,238.0,282.0,250.0,229.0,3.0,SOFT,2.0,True,,,,1,False,True,McLaren
FP1,NOR,1,14.0,91.798,33.176,40.719,17.903,269.0,318.0,261.0,277.0,3.0,SOFT,3.0,True,,,,1,True,True,McLaren
FP1,NOR,1,15.0,114.276,43.014,50.422,20.84,249.0,263.0,260.0,229.0,3.0,SOFT,4.0,True,,,,1,False,True,McLaren
FP1,NOR,1,16.0,94.355,34.361,41.811,18.183,268.0,315.0,280.0,276.0,3.0,SOFT,5.0,True,,,,1,False,True,McLaren
FP1,NOR,1,17.0,94.506,34.452,41.776,18.278,258.0,317.0,284.0,281.0,3.0,SOFT,6.0,True,,,,1,False,True,McLaren
FP1,NOR,1,18.0,93.726,33.962,41.641,18.123,260.0,318.0,280.0,279.0,3.0,SOFT,7.0,True,,,,1,False,True,McLaren
FP1,NOR,1,19.0,93.965,34.101,41.789,18.075,259.0,314.0,279.0,276.0,3.0,SOFT,8.0,True,,,,1,False,True,McLaren
FP1,NOR,1,20.0,128.258,43.567,55.643,29.048,217.0,201.0,,188.0,3.0,SOFT,9.0,True,,4670.982,,1,False,False,McLaren
FP1,VER,3,1.0,,,55.171,27.834,242.0,83.0,266.0,233.0,1.0,MEDIUM,1.0,True,993.191,,,1,False,False,Red Bull Racing
FP1,VER,3,2.0,94.089,34.236,41.805,18.048,269.0,337.0,270.0,290.0,1.0,MEDIUM,2.0,True,,,,1,True,True,Red Bull Racing
FP1,VER,3,3.0,117.236,45.614,50.459,21.163,233.0,274.0,270.0,236.0,1.0,MEDIUM,3.0,True,,,,1,False,True,Red Bull Racing
FP1,VER,3,4.0,93.362,33.611,41.768,17.983,270.0,331.0,261.0,287.0,1.0,MEDIUM,4.0,True,,,,1,True,True,Red Bull Racing
FP1,VER,3,5.0,114.111,41.522,48.592,23.997,239.0,274.0,,250.0,1.0,MEDIUM,5.0,True,,1529.973,,1,False,False,Red Bull Racing
FP1,VER,3,6.0,148.669,81.516,45.821,21.332,250.0,266.0,268.0,255.0,2.0,MEDIUM,6.0,False,1572.59,,,1,False,False,Red Bull Racing
FP1,VER,3,7.0,93.292,33.869,41.38,18.043,270.0,330.0,269.0,285.0,2.0,MEDIUM,7.0,False,,,,1,True,True,Red Bull Racing
FP1,VER,3,8.0,110.238,39.606,47.127,23.505,241.0,278.0,,255.0,2.0,MEDIUM,8.0,False,,1882.129,,1,False,False,Red Bull Racing
FP1,VER,3,9.0,,,46.301,21.969,247.0,218.0,268.0,245.0,3.0,SOFT,1.0,True,2467.916,,,1,False,False,Red Bull Racing
FP1,VER,3,10.0,92.457,33.292,41.096,18.069,272.0,322.0,268.0,279.0,3.0,SOFT,2.0,True,,,,1,True,True,Red Bull Racing
FP1,VER,3,11.0,118.928,45.368,50.862,22.698,239.0,279.0,,261.0,3.0,SOFT,3.0,True,,2782.352,,1,False,False,Red Bull Racing
FP1,VER,3,12.0,146.812,76.365,46.231,24.216,250.0,258.0,269.0,172.0,4.0,SOFT,4.0,False,2823.476,,,1,False,False,Red Bull Racing
FP1,VER,3,13.0,92.74,33.433,41.223,18.084,275.0,322.0,261.0,278.0,4.0,SOFT,5.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,14.0,107.391,38.648,46.342,22.401,244.0,276.0,,259.0,4.0,SOFT,6.0,False,,3129.189,,1,False,False,Red Bull Racing
FP1,VER,3,15.0,,,45.433,21.628,243.0,300.0,273.0,268.0,5.0,MEDIUM,9.0,False,3469.921,,,1,False,False,Red Bull Racing
FP1,VER,3,16.0,96.602,35.186,43.048,18.368,260.0,311.0,277.0,274.0,5.0,MEDIUM,10.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,17.0,97.031,35.222,43.134,18.675,260.0,307.0,275.0,272.0,5.0,MEDIUM,11.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,18.0,96.614,35.232,42.89,18.492,259.0,310.0,276.0,273.0,5.0,MEDIUM,12.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,19.0,96.941,35.209,43.379,18.353,262.0,308.0,275.0,273.0,5.0,MEDIUM,13.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,20.0,96.447,35.362,42.812,18.273,262.0,313.0,275.0,277.0,5.0,MEDIUM,14.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,21.0,96.316,35.359,42.683,18.274,266.0,313.0,276.0,275.0,5.0,MEDIUM,15.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,22.0,97.698,35.339,43.774,18.585,262.0,317.0,273.0,277.0,5.0,MEDIUM,16.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,23.0,96.76,35.584,42.779,18.397,260.0,300.0,259.0,278.0,5.0,MEDIUM,17.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,24.0,96.839,35.758,42.697,18.384,262.0,313.0,278.0,276.0,5.0,MEDIUM,18.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,25.0,96.408,35.277,42.879,18.252,266.0,311.0,276.0,273.0,5.0,MEDIUM,19.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,26.0,119.414,43.939,47.226,28.249,198.0,254.0,86.0,219.0,5.0,MEDIUM,20.0,False,,,,1,False,True,Red Bull Racing
FP1,VER,3,27.0,,92.187,46.807,21.904,247.0,274.0,,261.0,5.0,MEDIUM,21.0,False,,4843.794,,1,False,False,Red Bull Racing
FP1,BOR,5,1.0,,,57.37,27.98,237.0,171.0,,218.0,1.0,HARD,1.0,True,881.042,1037.927,,671,False,False,Audi
FP1,BOR,5,2.0,,,55.287,26.065,239.0,219.0,,218.0,2.0,HARD,2.0,False,1117.068,1240.36,,1,False,False,Audi
FP1,BOR,5,3.0,,,55.639,23.873,218.0,218.0,218.0,218.0,3.0,HARD,3.0,False,1668.585,,,1,False,False,Audi
FP1,BOR,5,4.0,117.479,42.128,51.431,23.92,256.0,263.0,258.0,228.0,3.0,HARD,4.0,False,,,,1,True,True,Audi
FP1,BOR,5,5.0,97.444,35.682,42.778,18.984,276.0,316.0,262.0,272.0,3.0,HARD,5.0,False,,,,1,True,True,Audi
FP1,BOR,5,6.0,111.061,42.294,46.684,22.083,278.0,255.0,262.0,221.0,3.0,HARD,6.0,False,,,,1,False,True,Audi
FP1,BOR,5,7.0,95.009,34.521,41.968,18.52,276.0,310.0,264.0,283.0,3.0,HARD,7.0,False,,,,1,True,True,Audi
FP1,BOR,5,8.0,118.162,43.416,48.43,26.316,252.0,257.0,262.0,165.0,3.0,HARD,8.0,False,,,,1,False,True,Audi
FP1,BOR,5,9.0,93.844,34.167,41.522,18.155,277.0,314.0,266.0,280.0,3.0,HARD,9.0,False,,,,1,True,True,Audi
FP1,BOR,5,10.0,114.002,43.489,47.252,23.261,261.0,256.0,260.0,223.0,3.0,HARD,10.0,False,,,,1,False,True,Audi
FP1,BOR,5,11.0,93.073,33.811,41.082,18.18,277.0,313.0,267.0,279.0,3.0,HARD,11.0,False,,,,1,True,True,Audi
FP1,BOR,5,12.0,108.785,38.481,47.129,23.175,273.0,259.0,,250.0,3.0,HARD,12.0,False,,2736.791,,1,False,False,Audi
FP1,BOR,5,13.0,,,46.416,23.791,274.0,260.0,242.0,224.0,4.0,SOFT,1.0,True,3180.738,,,1,False,False,Audi
FP1,BOR,5,14.0,104.72,36.786,46.172,21.762,279.0,255.0,258.0,222.0,4.0,SOFT,2.0,True,,,,1,False,True,Audi
FP1,BOR,5,15.0,93.046,33.69,41.149,18.207,267.0,308.0,265.0,269.0,4.0,SOFT,3.0,True,,,,1,True,True,Audi
FP1,BOR,5,16.0,118.053,44.946,52.2,20.907,194.0,273.0,258.0,225.0,4.0,SOFT,4.0,True,,,,1,False,True,Audi
FP1,BOR,5,17.0,92.759,33.494,41.252,18.013,273.0,311.0,264.0,279.0,4.0,SOFT,5.0,True,,,,1,True,True,Audi
FP1,BOR,5,18.0,146.155,52.118,65.948,28.089,195.0,257.0,252.0,246.0,4.0,SOFT,6.0,True,,,,1,False,True,Audi
FP1,BOR,5,19.0,104.17,37.567,45.405,21.198,274.0,319.0,271.0,242.0,4.0,SOFT,7.0,True,,,,1,False,True,Audi
FP1,BOR,5,20.0,95.317,34.605,42.437,18.275,269.0,311.0,277.0,275.0,4.0,SOFT,8.0,True,,,,1,False,True,Audi
FP1,BOR,5,21.0,94.766,34.058,42.085,18.623,266.0,325.0,279.0,286.0,4.0,SOFT,9.0,True,,,,1,False,True,Audi
FP1,BOR,5,22.0,97.132,35.424,43.112,18.596,266.0,321.0,280.0,276.0,4.0,SOFT,10.0,True,,,,1,False,True,Audi
FP1,BOR,5,23.0,94.631,34.235,42.092,18.304,274.0,300.0,268.0,275.0,4.0,SOFT,11.0,True,,,,1,False,True,Audi
FP1,BOR,5,24.0,95.935,34.63,42.984,18.321,266.0,302.0,268.0,274.0,4.0,SOFT,12.0,True,,,,1,False,True,Audi
FP1,BOR,5,25.0,95.278,34.694,42.403,18.181,260.0,305.0,276.0,276.0,4.0,SOFT,13.0,True,,,,1,False,True,Audi
FP1,BOR,5,26.0,122.186,42.738,50.061,29.387,228.0,259.0,107.0,220.0,4.0,SOFT,14.0,True,,,,1,False,True,Audi
FP1,BOR,5,27.0,,75.802,54.407,26.698,263.0,227.0,,185.0,4.0,SOFT,15.0,True,,4801.114,,1,False,False,Audi
FP1,HAD,6,1.0,,,53.64,26.362,234.0,166.0,257.0,241.0,1.0,MEDIUM,1.0,True,981.967,,,1,False,False,Red Bull Racing
FP1,HAD,6,2.0,94.508,34.383,41.727,18.398,268.0,335.0,270.0,290.0,1.0,MEDIUM,2.0,True,,,,1,True,True,Red Bull Racing
FP1,HAD,6,3.0,132.575,52.815,53.063,26.697,205.0,213.0,259.0,235.0,1.0,MEDIUM,3.0,True,,,,1,False,True,Red Bull Racing
FP1,HAD,6,4.0,93.693,33.734,41.904,18.055,272.0,332.0,274.0,289.0,1.0,MEDIUM,4.0,True,,,,1,True,True,Red Bull Racing
FP1,HAD,6,5.0,147.865,56.151,62.523,29.191,164.0,242.0,262.0,94.0,1.0,MEDIUM,5.0,True,,,,1,False,True,Red Bull Racing
FP1,HAD,6,6.0,112.988,33.971,53.681,25.336,268.0,260.0,265.0,150.0,1.0,MEDIUM,6.0,True,,,,1,False,True,Red Bull Racing
FP1,HAD,6,7.0,92.87,33.689,41.287,17.894,266.0,333.0,266.0,288.0,1.0,MEDIUM,7.0,True,,,,1,True,True,Red Bull Racing
FP1,HAD,6,8.0,125.358,48.144,52.958,24.256,242.0,266.0,,265.0,1.0,MEDIUM,8.0,True,,1902.748,,1,False,False,Red Bull Racing
FP1,HAD,6,9.0,147.8,77.106,48.037,22.657,255.0,267.0,264.0,251.0,2.0,MEDIUM,9.0,False,1941.822,,,1,False,False,Red Bull Racing
FP1,HAD,6,10.0,100.978,33.709,41.349,25.92,270.0,328.0,,213.0,2.0,MEDIUM,10.0,False,,2151.519,,1,False,False,Red Bull Racing
FP1,HAD,6,11.0,,,48.46,23.069,256.0,188.0,263.0,216.0,3.0,SOFT,1.0,True,2573.265,,,1,False,False,Red Bull Racing
FP1,HAD,6,12.0,92.803,33.491,41.261,18.051,268.0,320.0,274.0,278.0,3.0,SOFT,2.0,True,,,,1,True,True,Red Bull Racing
FP1,HAD,6,13.0,135.479,52.902,57.545,25.032,184.0,214.0,261.0,174.0,3.0,SOFT,3.0,True,,,,1,False,True,Red Bull Racing
FP1,HAD,6,14.0,92.996,33.601,41.321,18.074,269.0,324.0,267.0,280.0,3.0,SOFT,4.0,True,,,,1,False,True,Red Bull Racing
FP1,HAD,6,15.0,116.406,44.028,49.18,23.198,224.0,276.0,,236.0,3.0,SOFT,5.0,True,,3120.089,,1,False,False,Red Bull Racing
FP1,HAD,6,16.0,,,43.972,18.972,257.0,310.0,266.0,271.0,4.0,MEDIUM,11.0,False,3537.051,,,1,False,False,Red Bull Racing
FP1,HAD,6,17.0,97.829,35.996,43.271,18.562,260.0,317.0,274.0,278.0,4.0,MEDIUM,12.0,False,,,,1,False,True,Red Bull Racing
FP1,HAD,6,18.0,97.578,35.416,43.551,18.611,260.0,309.0,275.0,273.0,4.0,MEDIUM,13.0,False,,,,1,False,True,Red Bull Racing
FP1,HAD,6,19.0,97.355,35.375,43.44,18.54,262.0,314.0,274.0,277.0,4.0,MEDIUM,14.0,False,,,,1,False,True,Red Bull Racing
FP1,HAD,6,20.0,105.676,38.913,48.18,18.583,232.0,317.0,276.0,278.0,4.0,MEDIUM,15.0,False,,,,1,False,True,Red Bull Racing
FP1,HAD,6,21.0,101.101,35.518,43.557,22.026,259.0,308.0,,276.0,4.0,MEDIUM,16.0,False,,4134.414,,1,False,False,Red Bull Racing
FP1,HAD,6,22.0,144.553,73.16,46.956,24.437,260.0,315.0,273.0,211.0,5.0,MEDIUM,17.0,False,4173.993,,,1,False,False,Red Bull Racing
FP1,HAD,6,23.0,97.649,35.599,43.296,18.754,260.0,312.0,276.0,275.0,5.0,MEDIUM,18.0,False,,,,1,False,True,Red Bull Racing
FP1,HAD,6,24.0,97.128,35.811,42.855,18.462,261.0,320.0,276.0,279.0,5.0,MEDIUM,19.0,False,,,,1,False,True,Red Bull Racing
FP1,HAD,6,25.0,102.648,38.235,44.758,19.655,208.0,317.0,266.0,241.0,5.0,MEDIUM,20.0,False,,,,1,False,True,Red Bull Racing
FP1,HAD,6,26.0,130.886,46.699,49.195,34.992,213.0,277.0,54.0,166.0,5.0,MEDIUM,21.0,False,,,,1,False,True,Red Bull Racing
FP1,HAD,6,27.0,,93.725,44.266,21.526,257.0,282.0,,267.0,5.0,MEDIUM,22.0,False,,4866.699,,1,False,False,Red Bull Racing
FP1,GAS,10,1.0,,,46.379,32.738,259.0,266.0,244.0,274.0,1.0,MEDIUM,1.0,True,948.688,,,1,False,False,Alpine
FP1,GAS,10,2.0,96.409,35.641,42.395,18.373,273.0,327.0,264.0,291.0,1.0,MEDIUM,2.0,True,,,,1,True,True,Alpine
