Lap,Category,Message,Flag,Scope,Sector,RacingNumber
1,Other,FORMATION LAP WILL START AT 14:10,,,,
1,Flag,CLEAR IN TRACK SECTOR 18,CLEAR,Sector,18.0,
1,Flag,CLEAR IN TRACK SECTOR 24,CLEAR,Sector,24.0,
1,Flag,CLEAR IN TRACK SECTOR 19,CLEAR,Sector,19.0,
1,Flag,GREEN LIGHT - PIT EXIT OPEN,GREEN,Track,,
1,Other,PIT EXIT CLOSED,,,,
1,Other,RISK OF RAIN FOR THE F1 RACE IS 0%,,,,
1,Other,OVERTAKE DISABLED,,,,
1,Flag,GREEN LIGHT - PIT EXIT OPEN,GREEN,Track,,
1,Other,OVERTAKE ENABLED,,,,
4,Other,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 13 LAP 1 14:15:19,,,,
12,Other,CAR 87 (BEA) TIME 1:37.790 DELETED - TRACK LIMITS AT TURN 13 LAP 11 14:31:24,,,,
15,Flag,BLACK AND WHITE FLAG FOR CAR 41 (LIN) - MOVING UNDER BRAKING,BLACK AND WHITE,Driver,,41
21,Other,CAR 11 (PER) TIME 1:38.735 DELETED - TRACK LIMITS AT TURN 13 LAP 20 14:46:19,,,,
22,Flag,YELLOW IN TRACK SECTOR 21,YELLOW,Sector,21.0,
22,Flag,YELLOW IN TRACK SECTOR 20,YELLOW,Sector,20.0,
22,SafetyCar,SAFETY CAR DEPLOYED,,,,
22,Other,MEDICAL CAR DEPLOYED,,,,
23,Flag,DOUBLE YELLOW IN TRACK SECTOR 21,DOUBLE YELLOW,Sector,21.0,
23,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,DOUBLE YELLOW,Sector,20.0,
23,Other,RECOVERY VEHICLE ON TRACK AT TURN 13,,,,
26,Other,LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 77,,,,
26,Flag,CLEAR IN TRACK SECTOR 20,CLEAR,Sector,20.0,
26,Flag,CLEAR IN TRACK SECTOR 21,CLEAR,Sector,21.0,
27,SafetyCar,SAFETY CAR IN THIS LAP,,,,
27,Flag,TRACK CLEAR,CLEAR,Track,,
28,Other,OVERTAKE ENABLED,,,,
30,Other,TURN 13 INCIDENT INVOLVING CARS 43 (COL) AND 87 (BEA) NOTED,,,,
31,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 43 (COL) AND 87 (BEA) REVIEWED NO FURTHER INVESTIGATION,,,,
31,Other,CAR 41 (LIN) TIME 1:35.724 DELETED - TRACK LIMITS AT TURN 17 LAP 30 15:06:35,,,,
32,Other,CAR 43 (COL) TIME 1:43.165 DELETED - TRACK LIMITS AT TURN 13 LAP 21 14:47:52,,,,
45,Other,TURN 16 INCIDENT INVOLVING CAR 44 (HAM) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,
45,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:29:34,BLUE,Driver,,77
46,Other,CAR 44 (HAM) TIME 1:33.636 DELETED - TRACK LIMITS AT TURN 17 LAP 44 15:28:16,,,,
47,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:32:10,BLUE,Driver,,14
48,Other,FIA STEWARDS: TURN 16 INCIDENT INVOLVING CAR 44 (HAM) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,
48,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:33:41,BLUE,Driver,,77
48,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:33:57,BLUE,Driver,,77
48,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:34:13,BLUE,Driver,,77
51,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:37:26,BLUE,Driver,,77
51,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:37:52,BLUE,Driver,,14
51,Other,CAR 14 (ALO) TIME 1:37.112 DELETED - TRACK LIMITS AT TURN 17 LAP 49 15:37:30,,,,
51,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:38:39,BLUE,Driver,,14
53,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:41:21,BLUE,Driver,,14
53,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:41:48,BLUE,Driver,,14
53,Flag,CHEQUERED FLAG,CHEQUERED,Track,,
53,Other,ALL PASS HOLDERS MAY ACCESS THE PIT LANE,,,,
