Driver,DriverNumber,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,Stint,Compound,TyreLife,FreshTyre,PitOutTime_sec,PitInTime_sec,Position,TrackStatus,IsPersonalBest,IsAccurate,Team
NOR,1,1.0,97.206,,42.011,18.104,289.0,323.0,279.0,283.0,1.0,MEDIUM,1.0,True,,,3.0,1,False,False,McLaren
NOR,1,2.0,94.905,34.856,42.12,17.929,260.0,337.0,269.0,294.0,1.0,MEDIUM,2.0,True,,,3.0,1,True,True,McLaren
NOR,1,3.0,96.301,36.026,42.108,18.167,261.0,323.0,280.0,286.0,1.0,MEDIUM,3.0,True,,,4.0,1,False,True,McLaren
NOR,1,4.0,95.451,35.147,42.19,18.114,255.0,319.0,280.0,284.0,1.0,MEDIUM,4.0,True,,,4.0,1,False,True,McLaren
NOR,1,5.0,95.17,34.925,42.206,18.039,258.0,322.0,278.0,286.0,1.0,MEDIUM,5.0,True,,,4.0,1,False,True,McLaren
NOR,1,6.0,95.051,34.901,42.063,18.087,260.0,325.0,281.0,288.0,1.0,MEDIUM,6.0,True,,,4.0,1,False,True,McLaren
NOR,1,7.0,95.045,34.741,42.156,18.148,258.0,324.0,279.0,288.0,1.0,MEDIUM,7.0,True,,,4.0,1,False,True,McLaren
NOR,1,8.0,95.247,34.769,42.234,18.244,259.0,326.0,282.0,290.0,1.0,MEDIUM,8.0,True,,,4.0,1,False,True,McLaren
NOR,1,9.0,95.672,35.184,42.166,18.322,258.0,325.0,281.0,290.0,1.0,MEDIUM,9.0,True,,,4.0,1,False,True,McLaren
NOR,1,10.0,95.228,34.968,42.231,18.029,258.0,326.0,281.0,289.0,1.0,MEDIUM,10.0,True,,,4.0,1,False,True,McLaren
NOR,1,11.0,96.219,35.055,42.309,18.855,258.0,323.0,280.0,286.0,1.0,MEDIUM,11.0,True,,,5.0,1,False,True,McLaren
NOR,1,12.0,95.457,35.369,42.136,17.952,258.0,327.0,279.0,288.0,1.0,MEDIUM,12.0,True,,,5.0,1,False,True,McLaren
NOR,1,13.0,95.079,35.0,42.106,17.973,261.0,326.0,279.0,287.0,1.0,MEDIUM,13.0,True,,,5.0,1,False,True,McLaren
NOR,1,14.0,95.339,35.006,42.32,18.013,256.0,319.0,280.0,284.0,1.0,MEDIUM,14.0,True,,,5.0,1,False,True,McLaren
NOR,1,15.0,95.315,34.906,42.361,18.048,258.0,318.0,279.0,286.0,1.0,MEDIUM,15.0,True,,,5.0,1,False,True,McLaren
NOR,1,16.0,98.222,35.499,42.303,20.42,265.0,327.0,,289.0,1.0,MEDIUM,16.0,True,,5354.566,6.0,1,False,False,McLaren
