GP,Driver,Team,Stint,Compound,DegRate_sec_per_lap,StintLaps,MeanPace
R01,ALB,Williams,1.0,MEDIUM,-0.2829009009009037,8,86.4885
R01,ALB,Williams,2.0,HARD,0.15667272727272596,11,85.97127272727272
R01,ALB,Williams,3.0,SOFT,0.010107848673067146,22,85.11713636363636
R01,ALO,Aston Martin,1.0,SOFT,-0.05155508474576268,5,87.26579999999998
R01,ANT,Mercedes,1.0,MEDIUM,-0.35254999999999576,9,84.66544444444445
R01,ANT,Mercedes,2.0,HARD,-0.015374920685278647,35,82.97311428571427
R01,BEA,Haas F1 Team,1.0,MEDIUM,-0.15309999999999913,10,85.8466
R01,BEA,Haas F1 Team,2.0,HARD,0.016485729386892103,33,84.73939393939395
R01,BOR,Audi,1.0,MEDIUM,-0.15851999999999689,10,86.0704
R01,BOR,Audi,2.0,HARD,-0.02101818181818299,11,84.3779090909091
R01,BOR,Audi,3.0,HARD,0.04919198193111266,22,84.44059090909091
R01,BOT,Cadillac,1.0,HARD,-0.02437142857142793,6,87.61716666666666
R01,COL,Alpine,1.0,HARD,-0.22331428571428869,6,86.77633333333334
R01,COL,Alpine,2.0,HARD,0.020961411943319762,22,85.96118181818184
R01,COL,Alpine,3.0,SOFT,0.11266666666667081,9,84.37011111111111
R01,GAS,Alpine,1.0,MEDIUM,-0.15098333333332795,9,86.08088888888888
R01,GAS,Alpine,2.0,HARD,0.01535862498645459,34,85.2305588235294
R01,HAD,Red Bull Racing,1.0,MEDIUM,-0.056916666666663396,9,85.49766666666667
R01,HAM,Ferrari,1.0,MEDIUM,-0.04885927333174888,16,84.29875
R01,HAM,Ferrari,2.0,HARD,-0.016557463432362907,26,82.82353846153848
R01,LAW,Racing Bulls,1.0,MEDIUM,-0.17439726027397545,7,86.42571428571429
R01,LAW,Racing Bulls,2.0,HARD,0.04340909090909078,11,85.45272727272727
R01,LAW,Racing Bulls,3.0,SOFT,0.030377188029362633,22,84.66781818181819
R01,LEC,Ferrari,1.0,MEDIUM,-0.0875855426677693,13,84.48153846153846
R01,LEC,Ferrari,2.0,HARD,-0.0009163315677099154,29,83.04806896551723
R01,LIN,Racing Bulls,1.0,MEDIUM,-0.05630000000000021,10,85.7668
R01,LIN,Racing Bulls,2.0,HARD,0.014596044383600276,31,84.78645161290324
R01,NOR,McLaren,1.0,MEDIUM,-0.22631666666666359,9,85.76488888888888
R01,NOR,McLaren,2.0,HARD,0.02907883817427536,12,83.798
R01,NOR,McLaren,3.0,MEDIUM,-0.03683201581027868,23,83.08608695652175
R01,OCO,Haas F1 Team,1.0,MEDIUM,-0.2115333333333283,9,85.94055555555558
R01,OCO,Haas F1 Team,2.0,HARD,0.009085653916999687,34,85.25414705882352
R01,PER,Cadillac,1.0,MEDIUM,0.002185714285723514,6,87.37849999999999
R01,PER,Cadillac,2.0,HARD,-0.0170505107831999,7,87.14471428571429
R01,PER,Cadillac,3.0,SOFT,0.0020952380952376404,8,86.1965
R01,RUS,Mercedes,1.0,MEDIUM,-0.06823333333333129,9,84.91944444444444
R01,RUS,Mercedes,2.0,HARD,-0.0023047149550956166,35,83.06551428571429
R01,SAI,Williams,1.0,SOFT,-0.2803928571428497,7,86.39399999999999
R01,SAI,Williams,2.0,HARD,0.15472551546392163,11,86.17427272727274
R01,SAI,Williams,3.0,MEDIUM,-0.018433333333331508,9,85.95566666666667
R01,SAI,Williams,4.0,SOFT,0.010430997876855223,8,84.107125
R01,VER,Red Bull Racing,1.0,HARD,-0.16840666666666274,10,85.52430000000001
R01,VER,Red Bull Racing,2.0,MEDIUM,0.03628454810495887,16,83.64725000000001
R01,VER,Red Bull Racing,3.0,HARD,0.07235000000000191,16,82.86500000000001
R02,ALO,Aston Martin,1.0,HARD,-0.06919200880269702,19,100.47868421052631
R02,ANT,Mercedes,1.0,MEDIUM,-0.15617857142856884,7,97.59328571428571
R02,ANT,Mercedes,2.0,HARD,-0.032631397649583435,38,96.15944736842106
R02,BEA,Haas F1 Team,1.0,MEDIUM,-0.23050000000000087,7,99.5577142857143
R02,BEA,Haas F1 Team,2.0,HARD,-0.04349250463519451,38,97.49771052631579
R02,BOT,Cadillac,1.0,MEDIUM,-0.12724999999999784,7,101.16300000000001
R02,BOT,Cadillac,2.0,HARD,-0.02027949641971276,36,99.66005555555557
R02,COL,Alpine,1.0,HARD,-0.02402948205101359,21,98.80980952380952
R02,COL,Alpine,2.0,MEDIUM,0.0891702385067406,21,97.56814285714286
R02,GAS,Alpine,1.0,MEDIUM,-0.08803571428571222,7,98.62728571428572
R02,GAS,Alpine,2.0,HARD,-0.06404525304765439,37,97.52375675675675
R02,HAD,Red Bull Racing,2.0,HARD,-0.09174285714286139,6,98.68383333333334
R02,HAD,Red Bull Racing,3.0,HARD,-0.03725534861105414,37,98.10216216216216
R02,HAM,Ferrari,1.0,MEDIUM,-0.21071428571428333,7,98.30428571428571
R02,HAM,Ferrari,2.0,HARD,-0.030103028328597646,38,96.79644736842106
R02,HUL,Audi,1.0,HARD,-0.05824107564082265,22,98.92909090909092
R02,HUL,Audi,2.0,MEDIUM,0.065140350877192,18,97.30877777777778
R02,LAW,Racing Bulls,1.0,MEDIUM,0.07714285714285865,7,99.57300000000001
R02,LAW,Racing Bulls,2.0,HARD,-0.05096757864354803,36,97.95058333333333
R02,LEC,Ferrari,1.0,MEDIUM,-0.15353571428571097,7,98.18971428571429
R02,LEC,Ferrari,2.0,HARD,-0.022204997868047423,38,96.86276315789475
R02,LIN,Racing Bulls,1.0,HARD,-0.036658752369776657,30,99.01443333333333
R02,LIN,Racing Bulls,2.0,MEDIUM,0.1346582109479312,11,96.584
R02,OCO,Haas F1 Team,1.0,HARD,-0.02437152856688249,18,98.95588888888888
R02,OCO,Haas F1 Team,2.0,MEDIUM,0.09730944992947768,14,98.11657142857143
R02,OCO,Haas F1 Team,3.0,SOFT,-0.054811643835621614,7,96.42814285714287
R02,PER,Cadillac,1.0,MEDIUM,-0.03135714285714475,7,100.96857142857144
R02,PER,Cadillac,2.0,HARD,-0.014753579787747065,34,99.78355882352942
R02,RUS,Mercedes,1.0,MEDIUM,-0.1296071428571429,7,97.53985714285714
R02,RUS,Mercedes,2.0,HARD,-0.047365905073084365,38,96.29336842105265
R02,SAI,Williams,1.0,MEDIUM,-0.001857142857144164,7,100.022
R02,SAI,Williams,2.0,HARD,-0.025593742687322413,36,98.67252777777777
R02,STR,Aston Martin,1.0,HARD,-0.16196428571428542,7,101.36785714285713
R02,VER,Red Bull Racing,1.0,SOFT,-0.05057142857143229,7,99.47457142857142
R02,VER,Red Bull Racing,2.0,HARD,-0.06488514768438117,26,97.74992307692308
