Team,TeamFull,R01 Gap%,R02 Gap%,Delta,R01 Rank,R02 Rank,Rank Chg,R01 Drivers,R02 Drivers
MER,Mercedes,+0.00,+0.00,0.0,1,1,0,"ANT, RUS","ANT, RUS"
FER,Ferrari,+0.08,+0.52,0.4361136103982801,2,2,0,"HAM, LEC","HAM, LEC"
ALP,Alpine,+2.77,+1.61,-1.1577351090852375,8,3,5,"COL, GAS","COL, GAS"
RBR,Red Bull Racing,+0.52,+1.62,1.1034757489371572,4,4,0,VER,"HAD, VER"
HAS,Haas F1 Team,+2.16,+1.65,-0.514406962836091,6,5,1,"BEA, OCO","BEA, OCO"
RBU,Racing Bulls,+2.25,+1.99,-0.2673623177462332,7,6,1,"LAW, LIN","LAW, LIN"
AUD,Audi,+1.74,+2.09,0.3450643450497779,5,7,-2,BOR,HUL
WIL,Williams,+2.90,+2.46,-0.4341080077511492,9,8,1,"ALB, SAI",SAI
CAD,Cadillac,+4.70,+3.59,-1.1108486748426571,11,9,2,PER,"BOT, PER"
AMR,Aston Martin,+3.91,+4.04,0.13413658223579716,10,10,0,STR,ALO
