GP,Driver,Team,Stint,Compound,TyreLife,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,FreshTyre,LongRunID,CleanLapCount
R01_Australia,ALB,Williams,1.0,MEDIUM,2.0,2.0,87.78,31.155,18.16,38.465,True,R01_Australia_ALB_S1,8
R01_Australia,ALB,Williams,1.0,MEDIUM,3.0,3.0,87.512,31.369,18.234,37.909,True,R01_Australia_ALB_S1,8
R01_Australia,ALB,Williams,1.0,MEDIUM,5.0,5.0,87.176,30.385,18.275,38.516,True,R01_Australia_ALB_S1,8
R01_Australia,ALB,Williams,1.0,MEDIUM,6.0,6.0,86.436,30.347,18.545,37.544,True,R01_Australia_ALB_S1,8
R01_Australia,ALB,Williams,1.0,MEDIUM,7.0,7.0,85.688,30.041,18.442,37.205,True,R01_Australia_ALB_S1,8
R01_Australia,ALB,Williams,1.0,MEDIUM,8.0,8.0,85.558,29.979,18.318,37.261,True,R01_Australia_ALB_S1,8
R01_Australia,ALB,Williams,1.0,MEDIUM,9.0,9.0,85.728,30.086,18.257,37.385,True,R01_Australia_ALB_S1,8
R01_Australia,ALB,Williams,1.0,MEDIUM,10.0,10.0,86.03,30.181,18.432,37.417,True,R01_Australia_ALB_S1,8
R01_Australia,ALB,Williams,2.0,HARD,2.0,14.0,85.379,30.09,18.34,36.949,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,3.0,15.0,85.035,29.782,18.291,36.962,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,5.0,17.0,85.662,29.953,18.346,37.363,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,8.0,20.0,85.041,29.647,18.338,37.056,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,9.0,21.0,85.065,29.694,18.172,37.199,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,10.0,22.0,85.297,29.771,18.29,37.236,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,11.0,23.0,85.258,29.798,18.173,37.287,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,12.0,24.0,85.334,29.842,18.245,37.247,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,13.0,25.0,85.569,29.99,18.291,37.288,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,14.0,26.0,85.782,29.871,18.341,37.57,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,15.0,27.0,85.734,29.901,18.232,37.601,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,16.0,28.0,86.642,30.362,18.456,37.824,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,17.0,29.0,86.614,30.359,18.191,38.064,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,18.0,30.0,86.472,30.327,18.382,37.763,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,19.0,31.0,86.523,30.134,18.46,37.929,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,2.0,HARD,20.0,32.0,86.459,30.357,18.353,37.749,True,R01_Australia_ALB_S2,16
R01_Australia,ALB,Williams,3.0,SOFT,2.0,35.0,84.446,29.483,18.135,36.828,True,R01_Australia_ALB_S3,23
R01_Australia,ALB,Williams,3.0,SOFT,3.0,36.0,84.375,29.418,18.165,36.792,True,R01_Australia_ALB_S3,23
R01_Australia,ALB,Williams,3.0,SOFT,4.0,37.0,85.052,29.898,18.205,36.949,True,R01_Australia_ALB_S3,23
R01_Australia,ALB,Williams,3.0,SOFT,5.0,38.0,86.338,29.646,18.304,38.388,True,R01_Australia_ALB_S3,23
R01_Australia,ALB,Williams,3.0,SOFT,6.0,39.0,84.858,29.97,18.028,36.86,True,R01_Australia_ALB_S3,23
