Team,R01_Pace,R02_Pace,R03_Pace,R01_NormPace,R02_NormPace,R03_NormPace,ConsistencyScore,TotalPoints
Mercedes,85.2227,98.1755,95.6662,0.0000,0.0000,0.0000,0.1279,123.0000
Ferrari,85.3113,98.9710,95.9680,0.1038,0.8103,0.3154,0.3606,77.0000
McLaren,85.7630,,95.9205,0.6339,,0.2658,,38.0000
Haas F1 Team,86.9680,99.7995,97.3067,2.0479,1.6542,1.7148,0.2645,17.0000
Alpine,87.4200,99.6933,97.0535,2.5782,1.5460,1.4501,0.6213,16.0000
Red Bull Racing,85.7325,99.8195,96.9172,0.5981,1.6746,1.3077,0.5756,16.0000
Racing Bulls,86.7912,100.2157,97.4185,1.8405,2.0782,1.8316,0.1171,12.0000
Audi,86.3040,99.8360,97.2925,1.2687,1.6914,1.6999,,2.0000
Williams,87.3540,100.7735,97.7412,2.5008,2.6463,2.1690,0.1834,2.0000
Aston Martin,87.8675,101.5067,99.2073,3.1033,3.3932,3.7014,0.4091,0.0000
Cadillac,88.4955,101.7060,98.9493,3.8402,3.5961,3.4317,0.3848,0.0000
