GP,Driver,Team,Stint,Compound,DegRate,R2,CleanLaps,MeanPace
R01_Australia,ALB,Williams,1.0,MEDIUM,-0.282901,0.8096,8,86.4885
R01_Australia,ALB,Williams,2.0,HARD,0.086612,0.6392,16,85.7416
R01_Australia,ALB,Williams,3.0,SOFT,0.016139,0.0288,23,85.088
R01_Australia,ALO,Aston Martin,1.0,SOFT,-0.051555,0.276,5,87.2658
R01_Australia,ALO,Aston Martin,3.0,SOFT,0.143257,0.5604,5,86.1538
R01_Australia,ANT,Mercedes,1.0,MEDIUM,-0.35255,0.7224,9,84.6654
R01_Australia,ANT,Mercedes,2.0,HARD,-0.013633,0.2368,40,82.9924
R01_Australia,BEA,Haas F1 Team,1.0,MEDIUM,-0.127898,0.722,13,85.651
R01_Australia,BEA,Haas F1 Team,2.0,HARD,0.013921,0.054,36,84.7418
R01_Australia,BOR,Audi,1.0,MEDIUM,-0.127352,0.5678,13,85.8878
R01_Australia,BOR,Audi,2.0,HARD,-0.058137,0.4658,13,84.4925
R01_Australia,BOR,Audi,3.0,HARD,0.048332,0.1999,23,84.4194
R01_Australia,BOT,Cadillac,1.0,HARD,-0.024371,0.0717,6,87.6172
R01_Australia,COL,Alpine,1.0,HARD,-0.223314,0.3449,6,86.7763
R01_Australia,COL,Alpine,2.0,HARD,0.017346,0.0428,28,85.9061
R01_Australia,COL,Alpine,3.0,SOFT,0.112667,0.0528,9,84.3701
R01_Australia,GAS,Alpine,1.0,MEDIUM,-0.150983,0.2489,9,86.0809
R01_Australia,GAS,Alpine,2.0,HARD,0.005497,0.0105,40,85.2725
R01_Australia,HAD,Red Bull Racing,1.0,MEDIUM,-0.056917,0.3504,9,85.4977
R01_Australia,HAM,Ferrari,1.0,MEDIUM,-0.050225,0.4719,20,84.2109
R01_Australia,HAM,Ferrari,2.0,HARD,-0.022561,0.2985,28,82.8751
R01_Australia,LAW,Racing Bulls,1.0,MEDIUM,-0.174397,0.7387,7,86.4257
R01_Australia,LAW,Racing Bulls,2.0,HARD,-0.009933,0.01,16,85.4888
R01_Australia,LAW,Racing Bulls,3.0,SOFT,0.031556,0.0541,23,84.6479
R01_Australia,LEC,Ferrari,1.0,MEDIUM,-0.08825,0.5331,17,84.3236
R01_Australia,LEC,Ferrari,2.0,HARD,-0.00277,0.0071,31,83.0681
R01_Australia,LIN,Racing Bulls,1.0,MEDIUM,-0.069444,0.3077,12,85.6368
R01_Australia,LIN,Racing Bulls,2.0,HARD,0.012139,0.092,34,84.7801
R01_Australia,NOR,McLaren,1.0,MEDIUM,-0.226317,0.5745,9,85.7649
R01_Australia,NOR,McLaren,2.0,HARD,0.013996,0.0606,17,83.9064
R01_Australia,NOR,McLaren,3.0,MEDIUM,-0.036832,0.411,23,83.0861
R01_Australia,OCO,Haas F1 Team,1.0,MEDIUM,-0.211533,0.6177,9,85.9406
R01_Australia,OCO,Haas F1 Team,2.0,HARD,-0.002651,0.0023,40,85.3376
R01_Australia,PER,Cadillac,1.0,MEDIUM,-0.026565,0.1086,7,87.3364
R01_Australia,PER,Cadillac,2.0,HARD,0.00218,0.0032,10,87.0916
R01_Australia,PER,Cadillac,3.0,SOFT,0.002095,0.0023,8,86.1965
R01_Australia,RUS,Mercedes,1.0,MEDIUM,-0.101576,0.1294,10,84.8242
