Driver,FP_Rank,Quali_Rank,Rank_Error,FP_Time,Quali_Time,Time_Diff,FP_Session
ALB,16,16,0,95.48,94.772,0.708,FP1
ANT,2,1,1,92.861,92.064,0.797,FP1
BEA,7,10,-3,94.426,93.197,1.229,FP1
BOR,12,14,-2,94.828,93.549,1.279,FP1
COL,15,12,3,94.947,93.357,1.59,FP1
GAS,10,7,3,94.676,92.873,1.803,FP1
HAD,13,9,4,94.856,93.121,1.735,FP1
HAM,6,3,3,94.377,92.415,1.962,FP1
HUL,9,11,-2,94.639,93.354,1.285,FP1
LAW,11,15,-4,94.773,93.765,1.008,FP1
LEC,5,4,1,93.599,92.428,1.171,FP1
NOR,3,6,-3,93.296,92.608,0.688,FP1
OCO,14,13,1,94.877,93.538,1.339,FP1
PIA,4,5,-1,93.472,92.55,0.922,FP1
RUS,1,2,-1,92.741,92.286,0.455,FP1
VER,8,8,0,94.541,93.002,1.539,FP1
