GP,Team,Driver1,Driver2,PaceDelta_sec,S1Delta,S2Delta,S3Delta,SpeedDelta,PositionDelta,TyreDegDelta
Australia,McLaren,NOR,PIA,,,,,,-16.0,
China,McLaren,NOR,PIA,,,,,,1.0,
Japan,McLaren,NOR,PIA,0.151,0.2615,0.111,-0.119,7.0,3.0,-0.114
Australia,Ferrari,LEC,HAM,0.1195,0.022,-0.012,-0.064,-8.0,-1.0,0.03
China,Ferrari,LEC,HAM,0.12,-0.076,0.028,0.013,1.5,1.0,0.2805
Japan,Ferrari,LEC,HAM,-0.154,-0.1765,-0.356,0.021,-1.0,-3.0,-0.8335
Australia,Red Bull Racing,VER,HAD,-0.121,-0.7095,-0.885,-0.267,5.5,-14.0,0.1265
China,Red Bull Racing,VER,HAD,-0.483,-0.139,-0.1425,-0.072,-7.0,8.0,-0.8285
Japan,Red Bull Racing,VER,HAD,-0.7355,-0.3,-0.4455,-0.024,-1.0,-4.0,-0.0025
Australia,Mercedes,RUS,ANT,-0.0765,-0.0865,-0.086,0.279,1.5,-1.0,-0.0875
China,Mercedes,RUS,ANT,0.077,-0.006,0.127,-0.022,6.5,1.0,-0.704
Japan,Mercedes,RUS,ANT,0.3685,0.248,0.381,0.0625,5.0,3.0,0.7045
Australia,Aston Martin,ALO,STR,-0.759,-0.157,-0.005,-0.0595,1.0,1.0,-0.124
China,Aston Martin,ALO,STR,-0.0635,-0.484,-0.311,-0.1025,1.0,-1.0,-0.7115
Japan,Aston Martin,ALO,STR,0.4605,-0.3175,-0.303,0.004,0.0,-3.0,-1.0655
Australia,Williams,ALB,SAI,0.244,-0.19,0.048,-0.112,-6.5,-3.0,-0.8805
China,Williams,ALB,SAI,,,,,,13.0,
Japan,Williams,ALB,SAI,0.0445,0.3045,0.5035,0.0895,0.0,5.0,0.1865
Australia,Racing Bulls,LAW,LIN,0.1905,0.1255,0.1185,0.0465,-9.0,5.0,0.026
China,Racing Bulls,LAW,LIN,-0.1825,-0.019,-0.0685,-0.2755,2.0,-5.0,-2.5635
Japan,Racing Bulls,LAW,LIN,-0.035,-0.2265,-0.026,0.124,-5.0,-5.0,-0.0735
Australia,Alpine,GAS,COL,-0.166,-0.072,-0.133,-0.217,-1.0,-4.0,-0.0175
China,Alpine,GAS,COL,-0.3845,-0.1355,-0.4065,-0.2485,0.0,-4.0,-2.777
Japan,Alpine,GAS,COL,-1.133,-0.712,-0.489,-0.0515,-8.0,-9.0,0.0655
Australia,Haas F1 Team,OCO,BEA,0.42,0.277,-0.062,0.281,-2.0,4.0,0.3655
China,Haas F1 Team,OCO,BEA,0.113,0.147,0.416,0.181,5.0,9.0,1.4845
Japan,Haas F1 Team,OCO,BEA,-0.2355,-0.5675,-0.9845,-0.179,3.0,-12.0,-1.4505
Australia,Audi,HUL,BOR,,,,,,13.0,
China,Audi,HUL,BOR,,,,,,-10.0,
Japan,Audi,HUL,BOR,-0.351,0.088,-0.085,-0.0855,4.0,-2.0,-0.816
